Fault log of Dyd2
Iteration,Time(s),Value,Code
215.000000,2160.000000,0.454545,-2.000000
386.000000,3870.000000,0.545455,-2.000000
449.000000,4500.000000,0.545455,-2.000000
482.000000,4830.000000,0.545455,-2.000000
677.000000,6780.000000,12.000000,-1.000000
716.000000,7170.000000,0.545455,-2.000000
730.000000,7310.000000,32.000000,-1.000000
795.000000,7960.000000,31.636364,-1.000000
805.000000,8060.000000,31.727272,-1.000000
809.000000,8100.000000,19.909090,-1.000000
832.000000,8330.000000,7.545455,-1.000000
832.000000,8330.000000,7.545455,-2.000000
908.000000,9090.000000,29.818182,-1.000000
948.000000,9490.000000,32.909092,-1.000000
953.000000,9540.000000,28.363636,-1.000000
958.000000,9590.000000,30.909090,-1.000000
1006.000000,10070.000000,30.818182,-1.000000
1024.000000,10250.000000,10.545455,-1.000000
1060.000000,10610.000000,30.545454,-1.000000
1060.000000,10610.000000,30.545454,-2.000000
1074.000000,10750.000000,32.090908,-1.000000
1078.000000,10790.000000,31.454546,-1.000000
1083.000000,10840.000000,30.090910,-1.000000
1087.000000,10880.000000,27.727272,-1.000000
1118.000000,11190.000000,0.545455,-2.000000
1190.000000,11910.000000,10.000000,-1.000000
1234.000000,12350.000000,31.636364,-1.000000
1299.000000,13000.000000,0.818182,-2.000000
1316.000000,13170.000000,25.090910,-1.000000
1327.000000,13280.000000,31.454546,-1.000000
1377.000000,13780.000000,0.545455,-2.000000
1394.000000,13950.000000,31.181818,-1.000000
1410.000000,14110.000000,30.363636,-1.000000
1425.000000,14260.000000,32.000000,-1.000000
1448.000000,14490.000000,31.818182,-1.000000
1496.000000,14970.000000,31.000000,-1.000000
1524.000000,15250.000000,30.727272,-1.000000
1528.000000,15290.000000,31.636364,-1.000000
1576.000000,15770.000000,0.545455,-2.000000
1620.000000,16210.000000,31.090910,-1.000000
1620.000000,16210.000000,31.090910,-2.000000
1635.000000,16360.000000,11.272727,-1.000000
1670.000000,16710.000000,30.909090,-1.000000
1670.000000,16710.000000,30.909090,-2.000000
1739.000000,17400.000000,30.545454,-1.000000
1739.000000,17400.000000,30.545454,-2.000000
1768.000000,17690.000000,0.545455,-2.000000
1793.000000,17940.000000,28.181818,-1.000000
1815.000000,18160.000000,28.636364,-1.000000
1847.000000,18480.000000,0.454545,-2.000000
1873.000000,18740.000000,1.000000,-1.000000
1873.000000,18740.000000,1.000000,-2.000000
1943.000000,19440.000000,30.181818,-1.000000
1943.000000,19440.000000,30.181818,-2.000000
1948.000000,19490.000000,30.545454,-1.000000
1982.000000,19830.000000,32.818180,-1.000000
1982.000000,19830.000000,32.818180,-2.000000
2017.000000,20180.000000,0.545455,-2.000000
2068.000000,20690.000000,10.363636,-1.000000
2163.000000,21640.000000,0.363636,-2.000000
2187.000000,21880.000000,0.727273,-2.000000
2253.000000,22540.000000,14.727273,-1.000000
2258.000000,22590.000000,28.363636,-1.000000
2382.000000,23830.000000,32.090908,-1.000000
2382.000000,23830.000000,32.090908,-2.000000
2422.000000,24230.000000,0.545455,-2.000000
2532.000000,25330.000000,0.545455,-2.000000
2555.000000,25560.000000,0.363636,-2.000000
2566.000000,25670.000000,31.636364,-1.000000
2610.000000,26110.000000,26.818182,-1.000000
2623.000000,26240.000000,9.363636,-1.000000
2648.000000,26490.000000,27.181818,-1.000000
2698.000000,26990.000000,0.090909,-2.000000
2830.000000,28310.000000,15.909091,-1.000000
2902.000000,29030.000000,0.545455,-2.000000
2983.000000,29840.000000,0.545455,-2.000000
3020.000000,30210.000000,0.454545,-2.000000
3053.000000,30540.000000,0.636364,-2.000000
3064.000000,30650.000000,32.000000,-1.000000
3174.000000,31750.000000,30.545454,-1.000000
3181.000000,31820.000000,28.636364,-1.000000
