Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,66.69526,66.69526
2,67.83826,67.83826
3,66.94329,66.94329
4,67.92943,67.92943
5,67.00825,67.00825
6,65.15449,65.15449
7,67.93117,67.93117
8,67.06061,67.06061
9,66.33306,66.33306
10,67.2573,67.2573
11,65.80453,65.80453
12,65.95182,65.95182
13,67.84467,67.84467
14,66.07348,66.07348
15,65.62388,65.62388
16,66.67176,66.67176
17,64.02693,64.02693
18,64.03096,64.03096
19,65.53151,65.53151
20,67.21911,67.21911
21,67.81058,67.81058
22,64.50642,64.50642
23,65.04781,65.04781
24,67.71716,67.71716
25,67.98666,67.98666
26,69.47136,69.47136
27,70.51638,70.51638
28,67.93273,67.93273
29,70.57419,70.57419
30,68.00646,68.00646
31,69.50691,69.50691
32,66.23562,66.23562
33,66.80255,66.80255
34,65.73547,65.73547
35,66.90634,66.90634
36,67.63246,67.63246
37,65.00597,65.00597
38,65.30312,65.30312
39,67.15751,67.15751
40,65.51073,65.51073
41,67.55433,67.55433
42,65.78801,65.78801
43,66.06014,66.06014
44,64.59098,64.59098
45,65.38885,65.38885
46,67.11515,67.11515
47,67.97482,67.97482
48,66.28087,66.28087
49,67.96026,67.96026
50,64.105,64.105
51,65.48906,65.48906
52,67.04084,67.04084
53,64.72919,64.72919
54,64.19568,64.19568
55,66.73647,66.73647
56,67.96666,67.96666
57,65.7018,65.7018
58,65.5222,65.5222
59,65.11357,65.11357
60,65.03045,65.03045
61,65.73596,65.73596
62,64.12631,64.12631
63,66.24926,66.24926
64,64.40706,64.40706
65,65.30741,65.30741
66,67.70236,67.70236
67,69.8464,69.8464
68,66.87771,66.87771
69,66.16402,66.16402
70,68.35461,68.35461
71,66.23491,66.23491
72,64.62301,64.62301
73,65.17492,65.17492
74,64.60886,64.60886
75,66.5025,66.5025
76,64.90078,64.90078
77,64.72771,64.72771
78,66.78586,66.78586
79,67.67357,67.67357
80,67.75394,67.75394
81,67.92065,67.92065
82,66.00031,66.00031
83,64.65533,64.65533
84,64.85004,64.85004
85,67.57065,67.57065
86,67.24595,67.24595
87,66.28983,66.28983
88,64.31539,64.31539
89,67.43421,67.43421
90,66.42849,66.42849
91,65.03385,65.03385
92,65.30613,65.30613
