Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),LatchCurrent (mA)
1,66.66656
2,67.73173
3,65.65301
4,67.16509
5,66.33265
6,64.44004
7,65.30529
8,64.70281
9,67.30606
10,65.18201
11,64.63116
12,65.53078
13,65.37426
14,67.55531
15,64.97618
16,64.32014
17,65.07917
18,67.51458
19,64.98146
20,67.98913
21,67.75312
22,67.85966
23,65.21316
24,67.53354
25,65.32673
26,67.08882
27,64.50828
28,66.30186
29,67.86479
30,66.86285
31,65.72936
32,67.9609
33,65.85821
34,64.48586
35,65.28615
36,64.2085
37,64.67461
38,65.19718
39,65.79799
40,65.16914
41,65.62253
42,64.89175
43,66.34999
44,65.72323
45,67.65821
46,65.24261
47,65.75897
48,67.15028
49,65.52093
50,67.25369
51,66.26269
52,65.6443
53,64.53659
54,66.82247
55,64.00013
56,64.39943
57,65.13318
58,64.60521
59,67.54237
60,67.40232
61,65.6418
62,67.25004
63,64.65595
64,67.21043
65,70.81704
66,66.99013
67,70.46291
68,69.79258
69,69.9762
70,68.03324
71,68.34697
72,69.6657
73,67.89717
74,70.07286
75,66.08931
76,64.06555
77,65.9753
78,66.97637
79,66.71833
80,67.90124
81,66.51485
82,64.43489
83,64.25155
84,64.74679
85,66.97601
86,65.50486
87,66.99239
88,64.19663
89,68.74949
90,70.20367
91,67.91761
92,69.06739
93,69.825
94,70.06063
95,70.35874
96,71.55024
97,67.9306
98,69.83223
99,69.89638
100,68.55148
101,69.75286
102,68.36168
103,69.64054
104,66.40748
105,67.52329
106,67.03223
107,65.19295
108,68.72498
109,68.84919
110,67.21835
111,66.63361
112,66.91749
113,67.06078
114,66.34825
115,67.66792
116,68.95044
117,68.01417
118,69.61762
119,66.9207
120,70.04041
121,64.75024
122,67.71349
123,66.76701
124,66.4219
125,66.34632
126,66.05955
127,64.85746
128,66.66017
129,67.13185
130,66.49585
131,65.78266
132,66.43765
133,65.95548
134,64.70896
135,67.03007
136,64.8009
137,67.39834
138,66.55067
