Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),LatchCurrent (mA)
1,65.776066
2,66.132121
3,67.510268
4,67.017621
5,66.825456
6,65.070597
7,67.476903
8,65.840233
9,67.762648
10,66.865776
11,64.019982
12,66.88645
13,65.587893
14,66.910551
15,66.258247
16,66.350714
17,65.294753
18,67.968355
19,67.272871
20,66.290629
21,67.949352
22,65.837818
23,66.66624
24,65.837742
25,64.056295
26,65.885406
27,67.266276
28,64.957728
29,66.59211
30,65.87984
31,65.274246
32,67.157343
33,65.688458
34,66.068939
35,64.743164
36,64.597357
37,66.984483
38,65.262004
39,65.077596
40,65.935977
41,64.635343
42,64.890721
43,67.547099
44,66.710892
45,65.218905
46,67.259357
47,64.928529
48,65.658781
49,65.12489
50,65.98705
51,64.611218
52,66.803426
53,65.297043
54,64.2194
55,66.783599
56,65.40257
57,65.403027
58,66.757042
59,65.610727
60,65.409918
61,66.601332
62,64.160405
63,67.780733
64,67.278565
65,65.832202
66,65.762096
67,64.630178
68,65.336096
69,67.469024
70,66.875153
71,66.712121
72,64.055751
73,66.139903
74,65.076883
75,64.098993
76,66.30056
77,66.472977
78,67.245204
79,69.629148
80,67.439234
81,69.960314
82,69.096653
83,68.009752
84,67.508095
85,66.452366
86,69.573002
87,67.508453
88,66.513146
89,66.476153
90,68.436117
91,72.261296
92,73.537085
93,73.530112
94,72.249251
95,71.954825
96,70.953789
97,71.777625
98,71.64534
99,71.129766
100,68.240467
101,70.582916
102,68.548057
103,69.900542
104,69.498681
105,71.488972
106,71.645831
107,68.850857
108,70.402563
109,68.490071
110,65.994923
111,64.836784
112,67.805893
113,64.698234
114,65.620034
115,65.540762
116,65.540723
117,66.909353
118,65.803337
119,64.085089
120,64.135585
121,64.699711
122,64.748759
123,64.547487
124,65.235669
125,64.601555
126,65.040138
127,66.131088
128,65.470829
129,66.6507
130,67.287819
131,64.284715
132,65.252949
133,66.27108
134,67.174784
135,67.846423
136,67.166684
137,65.122092
138,67.315017
139,67.993323
140,65.119234
141,64.752881
142,67.11278
143,64.514031
144,65.255282
145,66.77203
146,64.41152
147,67.715357
148,67.57336
149,71.501145
150,68.184789
151,71.918253
152,70.798394
153,68.138555
154,70.737802
155,68.098956
156,67.154554
157,69.536595
158,68.634776
159,67.434493
160,68.563969
161,67.087696
162,67.528315
163,70.341465
164,68.823656
165,70.121946
166,66.863747
167,69.678463
168,70.114696
169,69.661934
170,67.357381
171,67.960776
172,70.421864
173,66.493473
174,67.378369
175,67.455559
176,68.953403
177,68.225752
178,69.021881
179,70.83798
180,67.929075
181,68.696681
182,67.278886
183,70.970873
184,68.728797
185,66.741531
186,64.481174
187,65.365904
188,70.454481
189,68.871918
190,68.009311
191,68.979579
192,68.24066
193,67.303095
194,67.233673
195,70.003822
196,69.608436
197,70.061718
198,69.336562
199,73.243263
200,76.800458
201,75.047886
202,74.627578
203,74.22748
204,75.553489
205,75.964177
206,73.895811
207,71.186847
208,69.980141
209,69.344206
210,70.309261
211,68.629676
212,71.444983
213,69.231719
214,71.471838
215,69.843761
216,68.391148
217,64.910173
218,66.740184
219,65.95151
220,64.745384
221,65.119364
222,67.589599
223,65.601059
224,69.499892
225,69.900432
226,69.413354
227,68.251541
228,67.763982
229,70.205055
230,69.534422
231,64.775451
232,65.003238
233,64.147738
234,65.101263
235,64.03797
236,66.441199
237,66.718217
238,65.643416
239,64.801701
240,65.167409
241,66.108582
242,66.8067
243,65.697347
244,67.819357
245,65.956013
246,66.454744
247,67.865539
248,67.864308
249,66.650746
250,66.314902
251,67.564285
252,64.888672
253,64.083968
254,66.287121
255,65.686487
256,66.604008
257,67.481775
258,64.572313
259,64.651383
260,66.869272
261,65.716694
262,66.088391
263,65.016671
264,64.771755
265,65.961728
266,67.775125
267,66.381023
268,67.659329
269,67.239295
270,67.133869
271,64.122122
272,66.941465
273,67.971901
274,65.590061
275,67.326493
276,65.200542
277,65.661696
278,67.525968
279,67.809724
280,66.436784
281,65.570575
282,67.753264
283,67.219696
284,66.428133
285,65.114676
286,64.298268
287,66.657908
288,67.047398
289,65.463895
290,67.640361
291,66.302761
292,68.071857
293,62.237382
294,67.976113
295,69.039944
296,70.48745
297,68.057973
298,67.701
299,68.697334
300,64.117283
301,66.660611
302,70.98598
303,74.551626
304,72.40867
305,67.041466
306,68.561663
307,66.019352
308,72.008032
309,71.135543
310,65.129059
311,66.03895
312,65.21727
313,67.184703
314,66.469485
315,71.986206
316,71.404451
317,72.950357
318,71.760623
319,72.495035
320,63.593745
321,62.231002
322,65.205454
323,61.988186
324,64.20377
325,68.354024
326,64.215055
327,66.390173
328,64.084997
329,61.821658
330,68.728715
331,68.241203
332,62.909771
333,64.414974
334,63.849691
335,68.88797
336,62.427034
337,70.316129
338,70.054717
339,66.565849
340,62.31961
341,62.455406
342,64.086859
343,62.348793
344,69.595114
345,62.675697
346,64.372418
347,62.82775
348,65.471749
349,73.385581
350,70.765641
351,72.562221
352,64.116982
353,70.789528
354,66.568936
355,69.847717
356,70.30057
357,74.392436
358,70.021622
359,72.458803
360,71.163496
361,72.192388
362,68.860968
363,63.10725
364,64.58602
365,66.244175
366,72.411146
367,63.486755
368,67.275557
369,72.958602
370,68.419057
371,65.949933
372,70.967195
373,68.35849
374,64.794202
375,62.900453
376,70.69308
377,65.01866
378,62.5665
379,66.177495
380,66.949059
381,68.517672
382,68.839431
383,63.127405
384,67.373209
385,66.689659
386,67.937038
387,64.777119
388,64.033059
389,68.368819
390,70.940084
391,61.558016
392,69.882789
393,61.974997
394,61.509568
395,64.519889
396,63.450179
397,61.263685
398,67.666115
399,62.090516
400,64.828633
401,67.99298
402,64.440544
403,65.612197
404,64.824195
405,66.678286
406,64.491306
407,66.392687
408,64.872974
409,66.420455
410,66.556238
411,66.3652
412,67.156481
413,67.232844
414,67.806729
415,67.984026
416,68.732933
417,66.580625
418,69.579517
419,71.290767
420,71.602678
421,70.642435
422,70.977987
423,71.701646
424,69.874326
425,69.654665
426,69.471902
427,68.376539
428,70.133964
429,71.172566
430,70.380103
431,70.80534
432,70.578528
433,68.264771
434,70.093678
435,70.247955
436,69.932546
437,68.390035
438,65.099436
439,64.798953
440,67.266229
441,66.060708
442,66.8012
443,64.306072
444,67.783975
445,65.119934
446,64.085517
447,64.132766
448,66.299042
449,64.455598
450,67.132578
451,67.60062
452,67.059104
453,67.999387
454,67.746394
455,65.823009
456,65.910386
457,65.857935
458,66.493986
459,64.326084
460,65.719266
461,65.11861
462,66.95186
463,67.642716
464,65.540581
465,64.292495
466,68.780452
467,66.819755
468,70.715227
469,67.332591
470,66.774622
471,69.743007
472,66.990272
473,68.527385
474,69.858955
475,69.454083
476,67.765573
477,66.847728
478,68.829712
479,68.298449
480,67.893681
481,67.939577
482,64.155567
483,65.869709
484,66.538172
485,67.69329
486,64.25555
487,64.531901
488,65.212678
489,64.161866
490,67.483404
491,65.102716
492,64.565919
493,64.707402
494,65.907864
495,66.288249
496,67.93988
497,64.610547
498,64.907629
499,65.781012
500,64.597785
501,67.868044
502,66.061735
503,67.82766
504,67.135226
505,66.324074
506,65.901089
507,65.098832
508,65.859234
509,64.866896
510,64.772931
511,65.328192
512,66.056986
513,66.628834
514,66.513314
515,64.64006
516,65.666731
517,65.862338
518,64.449323
519,67.246928
520,66.160478
521,64.705856
522,64.420096
523,65.472804
524,66.814446
525,64.126945
526,65.726836
527,67.222434
528,65.668216
529,64.961557
530,67.547931
531,64.940314
532,65.214743
533,64.655012
534,66.017307
535,66.983668
536,66.385608
537,66.817917
538,66.927971
539,67.075338
540,67.472771
541,67.148377
542,67.623912
543,66.449824
544,66.144371
545,65.388373
546,67.081649
547,67.323894
548,66.888178
549,68.574735
550,70.749464
551,71.991262
552,70.048299
553,70.759392
554,73.560976
555,72.461528
556,71.534417
557,71.599073
558,71.503213
559,71.590106
560,70.394571
561,67.575015
562,68.366943
563,70.597164
564,69.601344
565,70.715316
566,67.374762
567,65.231825
568,64.010283
569,64.093553
570,64.677705
571,65.40006
572,68.093448
573,69.874142
574,67.039882
575,68.289317
576,70.046049
577,70.645716
578,73.297966
579,73.347694
580,72.700912
581,68.284428
582,67.963609
583,68.180012
584,67.917083
585,67.091226
586,69.320456
587,66.571436
588,66.777686
589,66.490915
590,66.044796
591,65.654136
592,68.175797
593,67.393623
594,68.688335
595,69.510618
596,69.905202
597,69.205312
598,65.806794
599,64.186459
600,65.796483
601,65.049319
602,67.623673
603,65.692682
604,64.72008
605,64.345556
606,65.291763
607,66.499981
608,67.215159
609,66.764626
610,67.917656
611,65.231251
612,64.112924
613,66.283762
614,64.589886
615,64.697476
616,65.432341
617,67.918007
618,64.433002
619,64.917063
620,64.069634
621,67.941486
622,64.601218
623,66.460248
624,64.124985
625,64.372564
626,65.229613
627,67.648317
628,64.425615
629,67.446936
630,65.169514
631,67.413708
632,66.157507
633,66.234897
634,67.32924
635,66.723991
636,65.97844
637,64.027808
638,65.030922
639,64.486969
640,67.921914
641,67.904711
642,66.72996
643,67.322144
644,65.329934
645,66.559385
646,65.919559
647,64.370333
648,65.666109
649,65.094055
650,64.329835
651,64.505998
652,66.321713
653,65.594655
654,67.527637
655,67.637129
656,66.130691
657,66.757233
658,65.955179
659,67.283647
660,66.437713
661,64.610765
662,65.118425
663,65.397821
664,67.702573
665,67.474148
666,67.891194
667,66.730557
668,67.981695
669,70.287571
670,67.939738
671,69.754935
672,70.468788
673,68.970304
674,69.166576
675,68.502417
676,69.678721
677,64.196319
678,65.427533
679,67.932796
680,66.933054
681,66.103813
682,65.69813
683,64.910326
684,65.172314
685,65.09766
686,67.78209
687,65.348998
688,67.303123
689,66.681159
690,64.329
691,64.773078
692,65.748382
693,65.800656
694,67.388612
695,65.015163
696,65.597762
697,64.326466
698,66.00548
699,65.07484
700,66.120179
701,65.902667
