Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,65.776066,65.776066
2,66.132121,66.132121
3,67.510268,67.510268
4,67.017621,67.017621
5,66.825456,66.825456
6,65.070597,65.070597
7,67.476903,67.476903
8,65.840233,65.840233
9,67.762648,67.762648
10,66.865776,66.865776
11,64.019982,64.019982
12,66.88645,66.88645
13,65.587893,65.587893
14,66.910551,66.910551
15,66.258247,66.258247
16,66.350714,66.350714
17,65.294753,65.294753
18,67.968355,67.968355
19,67.272871,67.272871
20,66.290629,66.290629
21,67.949352,67.949352
22,65.837818,65.837818
23,66.66624,66.66624
24,65.837742,65.837742
25,64.056295,64.056295
26,65.885406,65.885406
27,67.266276,67.266276
28,64.957728,64.957728
29,66.59211,66.59211
30,65.87984,65.87984
31,65.274246,65.274246
32,67.157343,67.157343
33,65.688458,65.688458
34,66.068939,66.068939
35,64.743164,64.743164
36,64.597357,64.597357
37,66.984483,66.984483
38,65.262004,65.262004
39,65.077596,65.077596
40,65.935977,65.935977
41,64.635343,64.635343
42,64.890721,64.890721
43,67.547099,67.547099
44,66.710892,66.710892
45,65.218905,65.218905
46,67.259357,67.259357
47,64.928529,64.928529
48,65.658781,65.658781
49,65.12489,65.12489
50,65.98705,65.98705
51,64.611218,64.611218
52,66.803426,66.803426
53,65.297043,65.297043
54,64.2194,64.2194
55,66.783599,66.783599
56,65.40257,65.40257
57,65.403027,65.403027
58,66.757042,66.757042
59,65.610727,65.610727
60,65.409918,65.409918
61,66.601332,66.601332
62,64.160405,64.160405
63,67.780733,67.780733
64,67.278565,67.278565
65,65.832202,65.832202
66,65.762096,65.762096
67,64.630178,64.630178
68,65.336096,65.336096
69,67.469024,67.469024
70,66.875153,66.875153
71,66.712121,66.712121
72,64.055751,64.055751
73,66.139903,66.139903
74,65.076883,65.076883
75,64.098993,64.098993
76,66.30056,66.30056
77,66.472977,66.472977
78,67.245204,67.245204
79,69.629148,69.629148
80,67.439234,67.439234
81,69.960314,69.960314
82,69.096653,69.096653
83,68.009752,68.009752
84,67.508095,67.508095
85,66.452366,66.452366
86,69.573002,69.573002
87,67.508453,67.508453
88,66.513146,66.513146
89,66.476153,66.476153
90,68.436117,68.436117
91,72.261296,72.261296
92,73.537085,73.537085
93,73.530112,73.530112
94,72.249251,72.249251
95,71.954825,71.954825
96,70.953789,70.953789
97,71.777625,71.777625
98,71.64534,71.64534
99,71.129766,71.129766
100,68.240467,68.240467
101,70.582916,70.582916
102,68.548057,68.548057
103,69.900542,69.900542
104,69.498681,69.498681
105,71.488972,71.488972
106,71.645831,71.645831
107,68.850857,68.850857
108,70.402563,70.402563
109,68.490071,68.490071
110,65.994923,65.994923
111,64.836784,64.836784
112,67.805893,67.805893
113,64.698234,64.698234
114,65.620034,65.620034
115,65.540762,65.540762
116,65.540723,65.540723
117,66.909353,66.909353
118,65.803337,65.803337
119,64.085089,64.085089
120,64.135585,64.135585
121,64.699711,64.699711
122,64.748759,64.748759
123,64.547487,64.547487
124,65.235669,65.235669
125,64.601555,64.601555
126,65.040138,65.040138
127,66.131088,66.131088
128,65.470829,65.470829
129,66.6507,66.6507
130,67.287819,67.287819
131,64.284715,64.284715
132,65.252949,65.252949
133,66.27108,66.27108
134,67.174784,67.174784
135,67.846423,67.846423
136,67.166684,67.166684
137,65.122092,65.122092
138,67.315017,67.315017
139,67.993323,67.993323
140,65.119234,65.119234
141,64.752881,64.752881
142,67.11278,67.11278
143,64.514031,64.514031
144,65.255282,65.255282
145,66.77203,66.77203
146,64.41152,64.41152
147,67.715357,67.715357
148,67.57336,67.57336
149,71.501145,71.501145
150,68.184789,68.184789
151,71.918253,71.918253
152,70.798394,70.798394
153,68.138555,68.138555
154,70.737802,70.737802
155,68.098956,68.098956
156,67.154554,67.154554
157,69.536595,69.536595
158,68.634776,68.634776
159,67.434493,67.434493
160,68.563969,68.563969
161,67.087696,67.087696
162,67.528315,67.528315
163,70.341465,70.341465
164,68.823656,68.823656
165,70.121946,70.121946
166,66.863747,66.863747
167,69.678463,69.678463
168,70.114696,70.114696
169,69.661934,69.661934
170,67.357381,67.357381
171,67.960776,67.960776
172,70.421864,70.421864
173,66.493473,66.493473
174,67.378369,67.378369
175,67.455559,67.455559
176,68.953403,68.953403
177,68.225752,68.225752
178,69.021881,69.021881
179,70.83798,70.83798
180,67.929075,67.929075
181,68.696681,68.696681
182,67.278886,67.278886
183,70.970873,70.970873
184,68.728797,68.728797
185,66.741531,66.741531
186,64.481174,64.481174
187,65.365904,65.365904
188,70.454481,70.454481
189,68.871918,68.871918
190,68.009311,68.009311
191,68.979579,68.979579
192,68.24066,68.24066
193,67.303095,67.303095
194,67.233673,67.233673
195,70.003822,70.003822
196,69.608436,69.608436
197,70.061718,70.061718
198,69.336562,69.336562
199,73.243263,73.243263
200,76.800458,76.800458
201,75.047886,75.047886
202,74.627578,74.627578
203,74.22748,74.22748
204,75.553489,75.553489
205,75.964177,75.964177
206,73.895811,73.895811
207,71.186847,71.186847
208,69.980141,69.980141
209,69.344206,69.344206
210,70.309261,70.309261
211,68.629676,68.629676
212,71.444983,71.444983
213,69.231719,69.231719
214,71.471838,71.471838
215,69.843761,69.843761
216,68.391148,68.391148
217,64.910173,64.910173
218,66.740184,66.740184
219,65.95151,65.95151
220,64.745384,64.745384
221,65.119364,65.119364
222,67.589599,67.589599
223,65.601059,65.601059
224,69.499892,69.499892
225,69.900432,69.900432
226,69.413354,69.413354
227,68.251541,68.251541
228,67.763982,67.763982
229,70.205055,70.205055
230,69.534422,69.534422
231,64.775451,64.775451
232,65.003238,65.003238
233,64.147738,64.147738
234,65.101263,65.101263
235,64.03797,64.03797
236,66.441199,66.441199
237,66.718217,66.718217
238,65.643416,65.643416
239,64.801701,64.801701
240,65.167409,65.167409
241,66.108582,66.108582
242,66.8067,66.8067
243,65.697347,65.697347
244,67.819357,67.819357
245,65.956013,65.956013
246,66.454744,66.454744
247,67.865539,67.865539
248,67.864308,67.864308
249,66.650746,66.650746
250,66.314902,66.314902
251,67.564285,67.564285
252,64.888672,64.888672
253,64.083968,64.083968
254,66.287121,66.287121
255,65.686487,65.686487
256,66.604008,66.604008
257,67.481775,67.481775
258,64.572313,64.572313
259,64.651383,64.651383
260,66.869272,66.869272
261,65.716694,65.716694
262,66.088391,66.088391
263,65.016671,65.016671
264,64.771755,64.771755
265,65.961728,65.961728
266,67.775125,67.775125
267,66.381023,66.381023
268,67.659329,67.659329
269,67.239295,67.239295
270,67.133869,67.133869
271,64.122122,64.122122
272,66.941465,66.941465
273,67.971901,67.971901
274,65.590061,65.590061
275,67.326493,67.326493
276,65.200542,65.200542
277,65.661696,65.661696
278,67.525968,67.525968
279,67.809724,67.809724
280,66.436784,66.436784
281,65.570575,65.570575
282,67.753264,67.753264
283,67.219696,67.219696
284,66.428133,66.428133
285,65.114676,65.114676
286,64.298268,64.298268
287,66.657908,66.657908
288,67.047398,67.047398
289,65.463895,65.463895
290,67.640361,67.640361
291,66.302761,66.302761
292,68.071857,68.071857
293,62.237382,62.237382
294,67.976113,67.976113
295,69.039944,69.039944
296,70.48745,70.48745
297,68.057973,68.057973
298,67.701,67.701
299,68.697334,68.697334
300,64.117283,64.117283
301,66.660611,66.660611
302,70.98598,70.98598
303,74.551626,74.551626
