Log of Dyd2
Training on train set: H:\DIAG_RAD\DataSets\endThesisValidationData\simulations\trainSet\microLatch\datas5\normalCurrent.txt
Testing on test set: H:\DIAG_RAD\DataSets\endThesisValidationData\simulations\testSet\bigLinearDeviationMicroLatch\datas9\dataSet.txt
Window size: 20
UCL size rupture: 0.200000
UCL size outer: 0.050000
UCL size inner: 0.100000
feature number: 3
age threshold raw uCl: 2
age threshold precise uCl: 2
score threshold: 0.000000
age penalty: 0.975000
Iteration,Time(s),Current(A),Current_Scale,Code1,Code2,Reset_State
0.000000,1.000000,65.776070,0.225690,0.000000,0.000000,0.000000
1.000000,2.000000,66.132118,0.247097,0.000000,0.000000,0.000000
2.000000,3.000000,67.510269,0.329956,0.000000,0.000000,0.000000
3.000000,4.000000,67.017624,0.300336,0.000000,0.000000,0.000000
4.000000,5.000000,66.825455,0.288783,0.000000,0.000000,0.000000
5.000000,6.000000,65.070595,0.183274,0.000000,0.000000,0.000000
6.000000,7.000000,67.476906,0.327950,0.000000,0.000000,0.000000
7.000000,8.000000,65.840233,0.229547,0.000000,0.000000,0.000000
8.000000,9.000000,67.762650,0.345130,0.000000,0.000000,0.000000
9.000000,10.000000,66.865776,0.291207,0.000000,0.000000,0.000000
10.000000,11.000000,64.019981,0.120107,0.000000,0.000000,0.000000
11.000000,12.000000,66.886452,0.292450,0.000000,0.000000,0.000000
12.000000,13.000000,65.587891,0.214376,0.000000,0.000000,0.000000
13.000000,14.000000,66.910553,0.293899,0.000000,0.000000,0.000000
14.000000,15.000000,66.258247,0.254680,0.000000,0.000000,0.000000
15.000000,16.000000,66.350716,0.260239,0.000000,0.000000,0.000000
16.000000,17.000000,65.294754,0.196751,0.000000,0.000000,0.000000
17.000000,18.000000,67.968353,0.357498,0.000000,0.000000,0.000000
18.000000,19.000000,67.272873,0.315683,0.000000,0.000000,0.000000
19.000000,20.000000,66.290627,0.256627,0.000000,0.000000,0.000000
20.000000,21.000000,67.949348,0.356355,0.000000,0.000000,0.000000
21.000000,22.000000,65.837814,0.229402,0.000000,0.000000,0.000000
22.000000,23.000000,66.666237,0.279210,0.000000,0.000000,1.000000
23.000000,24.000000,65.837746,0.229398,0.000000,0.000000,1.000000
24.000000,25.000000,64.056297,0.122291,1.000000,0.000000,1.000000
25.000000,26.000000,65.885406,0.232263,1.000000,0.000000,0.000000
26.000000,27.000000,67.266273,0.315286,0.000000,0.000000,1.000000
27.000000,28.000000,64.957726,0.176488,0.000000,0.000000,0.000000
28.000000,29.000000,66.592110,0.274753,0.000000,0.000000,0.000000
29.000000,30.000000,65.879837,0.231929,0.000000,0.000000,1.000000
30.000000,31.000000,65.274246,0.195518,0.000000,0.000000,0.000000
31.000000,32.000000,67.157341,0.308737,0.000000,0.000000,1.000000
32.000000,33.000000,65.688461,0.220422,0.000000,0.000000,0.000000
33.000000,34.000000,66.068939,0.243298,0.000000,0.000000,1.000000
34.000000,35.000000,64.743164,0.163588,0.000000,0.000000,1.000000
35.000000,36.000000,64.597359,0.154821,0.000000,0.000000,1.000000
36.000000,37.000000,66.984482,0.298344,0.000000,0.000000,1.000000
37.000000,38.000000,65.262001,0.194782,0.000000,0.000000,1.000000
38.000000,39.000000,65.077599,0.183695,0.000000,0.000000,1.000000
39.000000,40.000000,65.935974,0.235304,0.000000,0.000000,1.000000
40.000000,41.000000,64.635345,0.157105,0.000000,0.000000,1.000000
41.000000,42.000000,64.890724,0.172460,0.000000,0.000000,1.000000
42.000000,43.000000,67.547096,0.332170,1.000000,0.000000,1.000000
43.000000,44.000000,66.710892,0.281895,0.000000,2.000000,0.000000
44.000000,45.000000,65.218903,0.192191,1.000000,2.000000,1.000000
45.000000,46.000000,67.259354,0.314870,1.000000,0.000000,0.000000
46.000000,47.000000,64.928528,0.174732,1.000000,0.000000,0.000000
47.000000,48.000000,65.658783,0.218638,0.000000,0.000000,1.000000
48.000000,49.000000,65.124893,0.186539,0.000000,0.000000,1.000000
49.000000,50.000000,65.987053,0.238375,0.000000,0.000000,0.000000
50.000000,51.000000,64.611221,0.155655,0.000000,0.000000,1.000000
51.000000,52.000000,66.803429,0.287458,0.000000,0.000000,1.000000
52.000000,53.000000,65.297043,0.196889,0.000000,0.000000,1.000000
53.000000,54.000000,64.219398,0.132097,0.000000,0.000000,1.000000
54.000000,55.000000,66.783600,0.286266,0.000000,0.000000,1.000000
55.000000,56.000000,65.402573,0.203234,0.000000,0.000000,1.000000
56.000000,57.000000,65.403030,0.203261,0.000000,0.000000,1.000000
57.000000,58.000000,66.757042,0.284669,0.000000,0.000000,1.000000
58.000000,59.000000,65.610725,0.215749,0.000000,0.000000,1.000000
59.000000,60.000000,65.409920,0.203675,0.000000,0.000000,1.000000
60.000000,61.000000,66.601334,0.275308,0.000000,0.000000,1.000000
61.000000,62.000000,64.160408,0.128550,0.000000,2.000000,1.000000
62.000000,63.000000,67.780731,0.346217,1.000000,0.000000,0.000000
63.000000,64.000000,67.278564,0.316025,0.000000,2.000000,1.000000
64.000000,65.000000,65.832199,0.229064,1.000000,2.000000,1.000000
65.000000,66.000000,65.762093,0.224849,0.000000,2.000000,1.000000
66.000000,67.000000,64.630180,0.156795,0.000000,0.000000,0.000000
67.000000,68.000000,65.336098,0.199237,0.000000,0.000000,1.000000
68.000000,69.000000,67.469025,0.327476,1.000000,0.000000,1.000000
69.000000,70.000000,66.875153,0.291771,0.000000,0.000000,1.000000
70.000000,71.000000,66.712120,0.281968,0.000000,0.000000,0.000000
71.000000,72.000000,64.055748,0.122258,1.000000,0.000000,1.000000
72.000000,73.000000,66.139900,0.247564,1.000000,0.000000,1.000000
73.000000,74.000000,65.076881,0.183652,0.000000,0.000000,1.000000
74.000000,75.000000,64.098991,0.124858,0.000000,0.000000,1.000000
75.000000,76.000000,66.300560,0.257224,0.000000,0.000000,0.000000
76.000000,77.000000,66.472977,0.267590,0.000000,0.000000,0.000000
77.000000,78.000000,67.245201,0.314019,0.000000,0.000000,1.000000
78.000000,79.000000,69.629150,0.457351,1.000000,0.000000,1.000000
79.000000,80.000000,67.439232,0.325685,1.000000,0.000000,1.000000
80.000000,81.000000,69.960312,0.477261,1.000000,0.000000,0.000000
81.000000,82.000000,69.096657,0.425335,0.000000,2.000000,1.000000
82.000000,83.000000,68.009750,0.359987,0.000000,0.000000,1.000000
83.000000,84.000000,67.508095,0.329825,0.000000,2.000000,1.000000
84.000000,85.000000,66.452370,0.266351,1.000000,0.000000,1.000000
85.000000,86.000000,69.573006,0.453975,1.000000,0.000000,0.000000
86.000000,87.000000,67.508453,0.329847,1.000000,0.000000,1.000000
87.000000,88.000000,66.513145,0.270005,0.000000,2.000000,1.000000
88.000000,89.000000,66.476151,0.267781,0.000000,0.000000,1.000000
89.000000,90.000000,68.436119,0.385621,0.000000,0.000000,0.000000
90.000000,91.000000,72.261299,0.615605,1.000000,2.000000,1.000000
91.000000,92.000000,73.537086,0.692310,0.000000,2.000000,1.000000
92.000000,93.000000,73.530113,0.691891,0.000000,0.000000,0.000000
93.000000,94.000000,72.249252,0.614881,0.000000,0.000000,0.000000
94.000000,95.000000,71.954826,0.597179,0.000000,0.000000,1.000000
95.000000,96.000000,70.953789,0.536993,1.000000,0.000000,0.000000
96.000000,97.000000,71.777626,0.586525,0.000000,0.000000,1.000000
97.000000,98.000000,71.645340,0.578571,0.000000,2.000000,1.000000
98.000000,99.000000,71.129768,0.547573,0.000000,2.000000,1.000000
99.000000,100.000000,68.240463,0.373858,1.000000,2.000000,0.000000
100.000000,101.000000,70.582916,0.514695,1.000000,0.000000,1.000000
101.000000,102.000000,68.548058,0.392352,1.000000,0.000000,1.000000
102.000000,103.000000,69.900543,0.473668,0.000000,0.000000,0.000000
103.000000,104.000000,69.498680,0.449506,0.000000,2.000000,1.000000
104.000000,105.000000,71.488976,0.569170,1.000000,2.000000,1.000000
105.000000,106.000000,71.645828,0.578601,0.000000,2.000000,1.000000
106.000000,107.000000,68.850861,0.410557,1.000000,0.000000,1.000000
107.000000,108.000000,70.402565,0.503851,0.000000,0.000000,1.000000
108.000000,109.000000,68.490074,0.388865,0.000000,0.000000,1.000000
109.000000,110.000000,65.994926,0.238848,1.000000,2.000000,1.000000
110.000000,111.000000,64.836784,0.169216,0.000000,0.000000,1.000000
111.000000,112.000000,67.805893,0.347730,1.000000,0.000000,1.000000
112.000000,113.000000,64.698235,0.160886,1.000000,0.000000,1.000000
113.000000,114.000000,65.620033,0.216308,0.000000,0.000000,1.000000
114.000000,115.000000,65.540764,0.211542,0.000000,2.000000,1.000000
115.000000,116.000000,65.540726,0.211540,0.000000,0.000000,1.000000
116.000000,117.000000,66.909355,0.293827,0.000000,0.000000,1.000000
117.000000,118.000000,65.803337,0.227329,0.000000,0.000000,1.000000
118.000000,119.000000,64.085091,0.124022,0.000000,2.000000,1.000000
119.000000,120.000000,64.135582,0.127058,0.000000,2.000000,1.000000
120.000000,121.000000,64.699715,0.160975,0.000000,2.000000,1.000000
121.000000,122.000000,64.748756,0.163924,0.000000,0.000000,1.000000
122.000000,123.000000,64.547485,0.151823,0.000000,0.000000,1.000000
123.000000,124.000000,65.235672,0.193199,0.000000,2.000000,1.000000
124.000000,125.000000,64.601555,0.155074,0.000000,0.000000,1.000000
125.000000,126.000000,65.040138,0.181443,0.000000,2.000000,1.000000
126.000000,127.000000,66.131088,0.247035,0.000000,0.000000,1.000000
127.000000,128.000000,65.470825,0.207337,0.000000,0.000000,1.000000
