Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),normalCurrent (mA)
1,66.818184
2,65.431377
3,65.832432
4,64.771065
5,65.057274
6,64.85284
7,64.510407
8,67.440768
9,64.377408
10,67.361477
11,65.279401
12,64.401658
13,64.661533
14,69.655096
15,68.806838
16,68.67162
17,69.726965
18,69.003199
19,67.298075
20,67.614482
21,69.140469
22,69.038697
23,66.564249
24,67.113877
25,69.435228
26,66.663159
27,69.689435
28,67.666562
29,67.912718
30,67.611049
31,65.900969
32,64.059297
33,67.151805
34,67.446005
35,70.946404
36,70.086783
37,68.35811
38,69.008731
39,70.66456
40,69.02469
41,67.894321
42,68.532942
43,69.143106
44,70.990853
45,69.577951
46,69.505482
47,69.382402
48,67.848857
49,65.750835
50,65.415215
51,66.455253
52,67.215707
53,65.474495
54,64.351464
55,64.529148
56,65.814429
57,65.916709
58,66.23003
59,64.872483
60,66.953774
61,64.334785
62,66.793964
63,64.591533
64,66.463253
65,65.612851
66,64.174576
67,65.658475
68,67.46858
69,64.705331
70,65.685817
71,67.503478
72,67.029166
73,65.866051
74,67.830036
75,64.541999
76,64.281603
77,67.419324
78,67.925382
79,64.232698
80,64.02343
81,66.640695
82,66.590233
83,64.754494
84,65.870691
85,66.283379
86,67.577829
87,64.231615
88,65.796493
89,67.51281
90,66.53483
91,67.734853
92,64.328125
93,65.185093
94,66.674539
95,68.3741
96,66.85222
97,69.523549
98,67.07659
99,70.028017
100,66.952366
101,68.805461
102,68.74393
103,67.955805
104,64.673309
105,67.461404
106,67.728571
107,67.256395
108,65.413939
109,66.343708
110,66.334144
111,65.600909
112,64.456589
113,65.358269
114,64.009704
115,67.304299
116,66.336925
117,64.613074
118,64.252243
119,65.080078
120,66.776966
121,65.242795
122,65.445876
123,67.403154
124,65.125924
125,67.939001
126,66.792061
127,65.697551
128,65.833534
129,66.304951
130,67.295827
131,66.592439
132,66.201357
133,65.782976
134,65.64081
135,66.369333
136,65.915787
137,66.559473
138,64.670625
139,65.402118
140,64.718963
141,67.701912
142,65.959148
143,65.216072
144,65.430366
145,65.734718
146,64.074499
147,66.129339
148,67.838694
149,67.283258
150,66.713308
151,65.536814
152,66.650222
153,66.45373
154,67.334219
155,64.963075
156,67.615156
157,64.329216
158,64.958143
159,64.757351
160,64.232739
161,65.841644
162,67.478282
163,66.249003
164,66.294802
165,65.080502
166,64.444078
167,65.36595
168,64.134383
169,66.120835
170,65.695795
171,65.616829
172,65.58099
173,64.154774
174,65.749058
175,66.394525
176,66.574467
177,64.967491
178,65.254593
179,64.409992
180,64.078883
181,65.41842
182,69.905366
183,69.575284
184,67.900658
185,70.107293
186,66.520481
187,68.859251
188,67.639707
189,69.162751
190,70.227149
191,68.389434
192,68.027713
193,69.945655
194,67.311201
195,67.353938
196,66.940643
197,65.598153
198,67.740248
199,64.60007
200,65.807916
201,67.421933
202,65.419401
203,64.366731
204,66.373866
205,65.931285
206,64.056879
207,66.949928
208,67.07634
209,67.0221
210,66.912825
211,66.920375
212,66.880136
213,65.041518
214,67.023352
215,67.364833
216,64.611665
217,64.211926
218,65.430524
219,65.058725
220,66.040346
221,65.876682
222,66.399191
223,65.488233
224,64.47807
225,67.544828
226,64.918787
227,68.554359
228,69.825788
229,70.385141
230,71.867047
231,69.108357
232,70.735299
233,69.806007
234,68.802033
235,71.789885
236,69.552445
237,68.21537
238,71.661176
239,68.530749
240,71.341072
241,71.372054
242,65.046224
243,65.385083
244,67.1056
245,66.20452
246,66.310338
247,66.807401
248,66.702355
249,64.319697
250,66.391859
251,67.558833
252,65.807899
253,64.890844
254,66.027341
255,67.949634
256,64.697574
257,64.293052
258,65.472197
259,66.490654
260,66.195759
261,67.716278
262,64.546145
263,68.659849
264,69.124926
265,66.473271
266,69.064633
267,67.104681
268,67.120123
269,68.802535
270,69.923441
271,68.726972
272,69.355576
273,69.172294
274,66.81881
275,70.287011
276,67.417068
277,68.507061
278,67.982631
279,67.283376
280,67.486138
281,67.903093
282,69.351432
283,69.657698
284,70.324467
285,69.734508
286,70.218019
287,71.635953
288,66.917595
289,64.788859
290,67.556988
291,64.212388
292,66.305724
293,67.18327
294,65.248703
295,69.711304
296,70.071634
297,68.090058
298,67.944573
299,69.758902
300,68.403627
301,71.611621
302,64.203567
303,64.728148
304,65.297208
305,66.941213
306,66.755965
307,64.9297
308,64.024313
309,65.877529
310,67.825713
311,66.94456
312,64.582283
313,66.454582
314,65.385464
315,67.590586
316,65.7386
317,66.8819
318,65.121802
319,69.921206
320,70.715287
321,68.599406
322,68.874151
323,70.87468
324,70.893511
325,71.251161
326,69.345047
327,68.520853
328,70.856404
329,69.121381
330,70.426806
331,67.204571
332,64.164751
333,64.598844
334,67.689273
335,67.956535
336,67.700581
337,67.419811
338,65.163368
339,64.043329
340,67.93246
341,65.351752
342,66.893276
343,65.09319
344,67.483376
345,65.879984
346,67.668525
347,65.069142
348,64.063163
349,64.580659
350,67.621547
351,66.913923
352,64.293326
353,66.53605
354,65.261749
355,64.087871
356,66.606743
357,67.549809
358,64.814037
359,66.279521
360,67.774397
361,64.824377
362,64.043169
363,67.539056
364,64.815003
365,65.997512
366,67.544638
367,64.956475
368,65.783281
369,65.50646
370,66.219803
371,64.63015
372,64.873212
373,64.969568
374,67.457526
375,64.703772
376,66.913876
377,64.241376
378,67.641039
379,65.038369
380,64.64729
381,66.280933
382,66.344019
383,66.221048
384,67.499854
385,64.936964
386,64.094707
387,64.913646
388,66.311378
389,67.946589
390,66.227524
391,65.148212
392,64.439064
393,66.296282
394,65.749485
395,65.848134
396,65.497977
397,64.439235
398,64.346248
399,67.18444
400,65.927895
401,64.90385
402,64.487863
403,66.912376
404,64.179118
405,67.441889
406,65.297338
407,65.403671
408,66.483448
409,66.549049
410,64.253185
411,67.300612
412,66.702676
413,64.888016
414,65.850299
415,67.621154
416,65.095191
417,64.287453
418,65.469547
419,65.383392
420,64.737298
421,64.531696
422,65.214073
423,65.621048
424,66.885858
425,65.170701
426,64.399464
427,64.406505
428,64.400689
429,67.253838
430,64.417795
431,64.042058
432,66.385272
433,66.544153
434,68.354371
435,67.272093
436,67.021727
437,68.23791
438,68.785404
439,66.922619
440,67.161124
441,70.016568
442,69.898663
443,68.08858
444,68.873969
445,66.739962
446,69.343585
447,66.577804
448,67.83702
449,65.032749
450,65.406811
451,66.194031
452,67.659221
453,65.532521
454,67.178118
455,65.904784
456,66.975834
457,65.392596
458,67.349341
459,66.129577
460,64.682556
461,64.167751
462,67.598052
463,66.927488
464,65.166058
465,67.981039
466,66.708932
467,67.867961
468,65.258959
469,67.571574
470,66.324587
471,64.503898
472,66.215329
473,67.565587
474,65.325598
475,64.234285
476,64.156542
477,67.628121
478,66.120297
479,64.07224
480,66.897036
481,64.565798
482,65.410482
483,64.563933
484,66.957326
485,66.254835
486,64.126308
487,66.727432
488,64.045686
489,67.839406
490,65.133555
491,64.77373
492,67.834222
493,66.446059
494,66.224849
495,67.980268
496,66.074052
497,64.999764
498,65.31718
499,64.443685
500,64.016973
501,67.562795
502,67.929834
503,67.193925
504,66.229003
505,64.12723
506,65.35433
507,67.61204
508,65.156687
509,67.860611
510,70.232126
511,68.931455
512,68.678186
513,71.580025
514,69.237266
515,69.501026
516,68.555536
517,69.236781
518,71.359527
519,71.454722
520,68.145203
521,68.833103
522,70.388068
523,70.510468
524,69.49008
525,67.68282
526,71.113932
527,70.022583
528,66.443502
529,64.357852
530,67.680929
531,64.315276
532,65.300759
533,67.854051
534,65.855562
535,67.699497
536,67.887832
537,67.088238
538,66.404652
539,66.543297
540,66.127593
541,65.231372
542,64.694189
543,65.425348
544,64.543303
545,67.902901
546,66.46647
547,65.144148
548,64.082069
549,66.919176
550,64.266426
551,66.516724
552,64.675928
553,67.41821
554,64.011352
555,65.990407
556,66.134303
557,67.544216
558,64.757356
559,64.894984
560,64.152159
561,67.720138
562,66.507933
563,67.696584
564,65.858061
565,67.13828
566,64.20324
567,64.142727
568,65.148936
569,67.184369
570,67.473778
571,64.682987
572,65.558307
573,67.592705
574,65.33104
575,65.845974
576,64.218305
577,65.016211
578,67.412558
579,65.791211
580,66.88103
581,65.382936
582,67.549483
583,67.565189
584,65.875339
585,64.48415
586,65.677957
587,64.464785
588,66.661282
589,66.645585
590,64.448965
591,66.452971
592,66.983155
593,66.870284
594,67.298785
595,67.052314
596,64.99062
597,64.243724
598,65.22603
599,67.924569
600,66.302197
601,66.369298
602,64.168435
603,65.585436
604,65.755581
605,67.933192
606,67.535197
607,66.481313
608,64.487099
609,65.926604
610,66.62584
611,67.021582
612,64.961
613,64.479365
614,65.794207
615,67.718703
616,67.305633
617,66.603467
618,65.433753
619,66.902599
620,65.45859
621,65.419498
622,67.724682
623,67.038609
624,65.265103
625,65.520144
626,64.002829
627,65.71851
628,64.134076
629,66.302319
630,64.769749
631,64.1715
632,64.44774
633,64.254395
634,67.606428
635,64.749454
636,64.924185
637,66.411749
638,66.982361
639,66.635023
640,65.953628
641,64.587216
642,65.830501
643,67.287274
644,65.153688
645,66.691282
646,67.589271
647,67.240407
648,67.695245
649,65.093252
650,66.864031
651,64.552601
652,64.998018
653,65.418089
654,65.165357
655,65.26856
656,67.546707
657,66.5495
658,64.947075
659,65.217399
660,65.237981
661,64.314515
662,64.985139
663,66.006008
664,65.216209
665,65.986674
666,65.952971
667,65.622127
668,64.848234
669,65.466877
670,66.697363
671,66.755624
672,69.919823
673,69.656161
674,66.297908
675,66.654126
676,68.802058
677,69.45534
678,64.58619
679,64.325342
680,64.884082
681,64.095568
682,67.495406
683,65.94776
684,67.246459
685,64.237716
686,66.670961
687,64.666306
688,64.693687
689,66.885818
690,64.141374
691,67.893527
692,65.233593
693,67.280912
694,67.189564
695,67.790665
696,65.525699
697,67.790529
698,66.305174
699,66.323976
700,64.178526
701,66.070734
702,67.514193
703,67.396714
704,67.695751
705,65.091877
706,66.796116
707,67.821887
708,68.729274
709,67.31781
710,68.967247
711,68.032592
712,71.990005
713,73.998091
714,71.896206
715,72.225396
716,72.422714
717,70.779757
718,69.719117
719,67.611102
720,68.507802
721,69.738231
722,68.167186
723,69.630453
724,70.953705
725,66.974425
726,67.52918
727,64.291327
728,66.864129
729,66.035361
730,64.313938
731,67.284521
732,64.604813
733,67.73377
734,67.015515
735,67.431924
736,67.620812
737,67.820506
738,65.911188
739,64.684911
740,64.470477
741,64.013056
742,64.318167
743,65.72268
744,66.617478
745,65.369126
746,65.636213
747,66.47951
748,67.675428
749,66.27226
750,66.077753
751,66.051099
752,65.287562
753,69.322518
754,69.138015
755,68.954611
756,69.684974
757,69.001832
758,70.506849
759,72.010448
760,71.827492
761,71.170447
762,71.346644
763,73.576788
764,67.505532
765,69.151878
766,71.027303
767,70.949452
768,69.371732
769,65.992364
770,66.0756
771,69.320259
772,67.976486
773,62.716257
774,69.969982
775,64.465779
776,62.543089
777,64.483081
778,64.233646
779,63.482108
780,63.919373
781,67.772535
782,65.842944
783,64.655844
784,63.631258
785,68.216441
786,65.666301
787,65.145795
788,62.822479
789,63.26683
790,68.442014
791,63.539007
792,62.173483
793,67.735844
794,65.78979
795,68.094484
796,69.557174
797,64.686339
798,62.478757
799,62.929439
800,69.259185
801,66.094335
802,68.264611
803,62.61136
804,69.576218
805,66.154034
806,64.481883
807,65.92618
808,69.353323
809,67.455095
810,66.354242
811,68.193141
812,63.387655
813,64.972784
814,65.209475
815,68.633183
816,67.602316
817,69.971344
818,66.467866
819,67.991323
820,66.993524
821,71.921087
822,66.654658
823,69.339007
824,72.400149
825,71.367432
826,66.227703
827,65.26203
828,62.904203
829,64.965822
830,66.771046
831,67.520648
832,63.151492
833,68.594344
834,67.827118
835,67.547002
836,65.871016
837,65.651635
838,68.124605
839,65.318089
840,68.540043
841,67.482298
842,68.218197
843,66.057868
844,64.862981
845,64.27572
846,66.689974
847,69.694614
848,63.519586
849,64.283082
850,66.67951
851,65.703807
852,62.708945
853,68.668314
854,63.108557
855,64.041559
856,63.106562
857,66.10667
858,67.434374
859,63.101307
860,68.607964
861,67.642211
862,65.2745
863,69.744626
864,62.453588
865,69.1499
866,62.747717
867,67.619964
868,65.668999
869,69.096866
870,62.681984
871,64.733139
872,65.483531
873,65.234781
874,65.551715
875,67.656669
876,66.913336
877,66.390313
878,64.828502
879,66.817855
880,64.278529
881,64.147717
882,66.266912
883,66.080077
884,66.431801
885,65.026623
886,64.746094
887,66.41285
888,65.911381
889,67.706615
890,67.686441
891,67.99891
892,65.79821
893,64.582859
894,67.488876
895,66.399209
896,65.842198
897,66.133026
898,66.098108
899,64.657066
900,68.364238
901,70.135995
902,69.585828
903,70.040463
904,70.170723
905,70.681393
906,71.033339
907,68.594462
908,70.083325
909,64.71637
