Fault log of Dyd2
Iteration,Time(s),Current(A),Code
2426.000000,2427.000000,2.984921,-1.000000
2426.000000,2427.000000,2.984921,-2.000000
3562.000000,3563.000000,0.780503,-1.000000
3709.000000,3710.000000,0.979386,-1.000000
4367.000000,4368.000000,0.853210,-1.000000
4373.000000,4374.000000,0.790537,-1.000000
4376.000000,4377.000000,0.860334,-1.000000
4563.000000,4564.000000,0.875206,-1.000000
4625.000000,4626.000000,3.075103,-1.000000
4625.000000,4626.000000,3.075103,-2.000000
5235.000000,5236.000000,2.856581,-1.000000
5621.000000,5622.000000,0.685077,-2.000000
5879.000000,5880.000000,0.871087,-1.000000
5882.000000,5883.000000,0.856647,-1.000000
6038.000000,6039.000000,0.715552,-2.000000
6326.000000,6327.000000,0.796645,-1.000000
6369.000000,6370.000000,0.868140,-1.000000
6569.000000,6570.000000,0.958183,-1.000000
6577.000000,6578.000000,0.795965,-1.000000
6657.000000,6658.000000,0.786545,-1.000000
6659.000000,6660.000000,1.069937,-1.000000
6667.000000,6668.000000,0.982545,-1.000000
6700.000000,6701.000000,0.853951,-1.000000
6710.000000,6711.000000,0.792188,-1.000000
6733.000000,6734.000000,1.036200,-1.000000
6894.000000,6895.000000,0.910700,-1.000000
6897.000000,6898.000000,0.795336,-1.000000
6923.000000,6924.000000,0.797944,-1.000000
7008.000000,7009.000000,0.636450,-2.000000
7071.000000,7072.000000,0.876718,-1.000000
7077.000000,7078.000000,0.793049,-1.000000
7110.000000,7111.000000,2.733098,-1.000000
7328.000000,7329.000000,0.807565,-1.000000
7420.000000,7421.000000,0.901088,-1.000000
7424.000000,7425.000000,0.797756,-1.000000
7427.000000,7428.000000,0.919046,-1.000000
7431.000000,7432.000000,0.819497,-1.000000
7434.000000,7435.000000,0.884762,-1.000000
7440.000000,7441.000000,0.882180,-1.000000
7464.000000,7465.000000,0.790728,-1.000000
7488.000000,7489.000000,0.914103,-1.000000
7492.000000,7493.000000,0.910293,-1.000000
7497.000000,7498.000000,0.811146,-1.000000
7508.000000,7509.000000,0.800204,-1.000000
7571.000000,7572.000000,0.787930,-1.000000
7592.000000,7593.000000,0.792166,-1.000000
7606.000000,7607.000000,0.785304,-1.000000
7618.000000,7619.000000,0.790282,-1.000000
7623.000000,7624.000000,0.947924,-1.000000
7637.000000,7638.000000,0.789771,-1.000000
7716.000000,7717.000000,0.900630,-1.000000
7728.000000,7729.000000,0.819545,-1.000000
7734.000000,7735.000000,1.113232,-1.000000
7792.000000,7793.000000,0.823693,-1.000000
7802.000000,7803.000000,0.816356,-1.000000
7823.000000,7824.000000,0.617331,-2.000000
7880.000000,7881.000000,0.817521,-1.000000
7885.000000,7886.000000,1.034832,-1.000000
7897.000000,7898.000000,0.808785,-1.000000
7907.000000,7908.000000,0.813152,-1.000000
7931.000000,7932.000000,0.516051,-2.000000
8025.000000,8026.000000,0.809959,-1.000000
8028.000000,8029.000000,0.915809,-1.000000
8034.000000,8035.000000,1.034736,-1.000000
8048.000000,8049.000000,0.824042,-1.000000
8103.000000,8104.000000,0.909776,-1.000000
8128.000000,8129.000000,0.808672,-1.000000
8160.000000,8161.000000,0.940768,-1.000000
8165.000000,8166.000000,0.917413,-1.000000
8167.000000,8168.000000,0.790210,-1.000000
8170.000000,8171.000000,0.940271,-1.000000
8195.000000,8196.000000,0.651776,-2.000000
8201.000000,8202.000000,0.968349,-1.000000
8282.000000,8283.000000,0.815718,-1.000000
8293.000000,8294.000000,0.926159,-1.000000
8297.000000,8298.000000,0.962647,-1.000000
8329.000000,8330.000000,0.823390,-1.000000
8336.000000,8337.000000,0.956671,-1.000000
8343.000000,8344.000000,0.807364,-1.000000
8411.000000,8412.000000,0.803548,-1.000000
8416.000000,8417.000000,0.808728,-1.000000
8419.000000,8420.000000,0.952051,-1.000000
8449.000000,8450.000000,0.811069,-1.000000
8452.000000,8453.000000,0.800819,-1.000000
8466.000000,8467.000000,0.823906,-1.000000
8511.000000,8512.000000,0.989416,-1.000000
8516.000000,8517.000000,0.880060,-1.000000
8520.000000,8521.000000,0.815768,-1.000000
8546.000000,8547.000000,0.869035,-2.000000
8553.000000,8554.000000,0.967955,-1.000000
8563.000000,8564.000000,0.973716,-1.000000
8605.000000,8606.000000,0.898134,-1.000000
8620.000000,8621.000000,0.820566,-1.000000
8739.000000,8740.000000,0.539647,-2.000000
8760.000000,8761.000000,0.894421,-1.000000
8768.000000,8769.000000,0.901943,-1.000000
8772.000000,8773.000000,0.894835,-1.000000
8775.000000,8776.000000,0.816729,-1.000000
8789.000000,8790.000000,0.805768,-1.000000
8804.000000,8805.000000,0.794224,-1.000000
8811.000000,8812.000000,0.808458,-1.000000
8813.000000,8814.000000,0.964426,-1.000000
8819.000000,8820.000000,0.910263,-1.000000
8827.000000,8828.000000,0.813902,-1.000000
8830.000000,8831.000000,0.808153,-1.000000
8838.000000,8839.000000,0.959662,-1.000000
8845.000000,8846.000000,0.816293,-1.000000
8849.000000,8850.000000,0.944094,-1.000000
8851.000000,8852.000000,0.817146,-1.000000
8866.000000,8867.000000,0.828709,-1.000000
8871.000000,8872.000000,1.036335,-1.000000
8882.000000,8883.000000,0.803850,-1.000000
8898.000000,8899.000000,0.823334,-1.000000
8902.000000,8903.000000,0.819353,-1.000000
8913.000000,8914.000000,0.827873,-1.000000
8918.000000,8919.000000,0.825419,-1.000000
8932.000000,8933.000000,0.814855,-1.000000
8934.000000,8935.000000,0.966470,-1.000000
8944.000000,8945.000000,0.817488,-1.000000
8959.000000,8960.000000,0.881374,-1.000000
8971.000000,8972.000000,0.794863,-1.000000
8996.000000,8997.000000,0.776726,-2.000000
9001.000000,9002.000000,0.886298,-1.000000
9007.000000,9008.000000,0.985824,-1.000000
9009.000000,9010.000000,0.798876,-1.000000
9011.000000,9012.000000,0.974456,-1.000000
9035.000000,9036.000000,0.763978,-2.000000
9040.000000,9041.000000,0.820820,-1.000000
9049.000000,9050.000000,0.880398,-1.000000
9057.000000,9058.000000,0.895638,-1.000000
9064.000000,9065.000000,0.803303,-1.000000
9071.000000,9072.000000,0.882341,-1.000000
9078.000000,9079.000000,0.879532,-1.000000
9117.000000,9118.000000,0.966455,-1.000000
9127.000000,9128.000000,0.994831,-1.000000
9148.000000,9149.000000,0.964018,-1.000000
9154.000000,9155.000000,0.977222,-1.000000
9160.000000,9161.000000,0.942773,-1.000000
9189.000000,9190.000000,0.793569,-1.000000
9197.000000,9198.000000,0.794396,-1.000000
9229.000000,9230.000000,0.903150,-1.000000
9229.000000,9230.000000,0.903150,-2.000000
9262.000000,9263.000000,0.700925,-2.000000
9265.000000,9266.000000,0.892179,-1.000000
9280.000000,9281.000000,0.833484,-1.000000
9295.000000,9296.000000,0.937067,-1.000000
9302.000000,9303.000000,0.920859,-1.000000
9309.000000,9310.000000,0.810097,-1.000000
9331.000000,9332.000000,0.744851,-2.000000
9352.000000,9353.000000,0.792291,-2.000000
9356.000000,9357.000000,0.971739,-1.000000
9365.000000,9366.000000,0.925447,-1.000000
9370.000000,9371.000000,0.888665,-1.000000
9391.000000,9392.000000,0.895270,-1.000000
9400.000000,9401.000000,0.889702,-1.000000
9411.000000,9412.000000,0.995108,-1.000000
9418.000000,9419.000000,1.005323,-1.000000
9431.000000,9432.000000,0.941900,-1.000000
9434.000000,9435.000000,0.947539,-1.000000
9439.000000,9440.000000,0.894510,-1.000000
9443.000000,9444.000000,1.028333,-1.000000
9447.000000,9448.000000,0.931275,-1.000000
9450.000000,9451.000000,1.060653,-1.000000
9474.000000,9475.000000,0.726238,-2.000000
9480.000000,9481.000000,0.802039,-1.000000
9492.000000,9493.000000,0.804529,-1.000000
9503.000000,9504.000000,0.796361,-1.000000
9511.000000,9512.000000,0.792215,-1.000000
9518.000000,9519.000000,0.896844,-1.000000
9529.000000,9530.000000,0.895066,-1.000000
9543.000000,9544.000000,0.804070,-1.000000
9553.000000,9554.000000,0.893731,-1.000000
9579.000000,9580.000000,0.694414,-2.000000
9585.000000,9586.000000,0.980661,-1.000000
9595.000000,9596.000000,0.806807,-1.000000
9597.000000,9598.000000,0.950926,-1.000000
9601.000000,9602.000000,1.015101,-1.000000
9607.000000,9608.000000,0.801793,-1.000000
9616.000000,9617.000000,0.961639,-1.000000
9637.000000,9638.000000,1.045551,-1.000000
9665.000000,9666.000000,0.646422,-2.000000
9680.000000,9681.000000,0.935891,-1.000000
9687.000000,9688.000000,1.124653,-1.000000
9700.000000,9701.000000,0.943108,-1.000000
9721.000000,9722.000000,0.698086,-2.000000
9747.000000,9748.000000,0.812197,-2.000000
9772.000000,9773.000000,0.728987,-2.000000
9784.000000,9785.000000,0.969579,-1.000000
9789.000000,9790.000000,0.999737,-1.000000
9811.000000,9812.000000,0.625454,-2.000000
9832.000000,9833.000000,0.713485,-2.000000
9859.000000,9860.000000,0.693524,-2.000000
9880.000000,9881.000000,0.709561,-2.000000
9906.000000,9907.000000,0.910950,-1.000000
9926.000000,9927.000000,0.906714,-1.000000
