Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,65.50498,65.50498
2,67.52639,67.52639
3,64.730678,64.730678
4,64.037182,64.037182
5,66.167652,66.167652
6,67.806851,67.806851
7,66.644228,66.644228
8,65.797443,65.797443
9,65.900081,65.900081
10,67.145703,67.145703
11,64.274281,64.274281
12,66.9618,66.9618
13,65.406628,65.406628
14,64.315359,64.315359
15,64.361843,64.361843
16,67.176073,67.176073
17,67.599568,67.599568
18,66.61584,66.61584
19,66.109628,66.109628
20,66.325804,66.325804
21,67.785824,67.785824
22,66.974496,66.974496
23,65.441264,65.441264
24,64.048847,64.048847
25,66.100302,66.100302
26,65.572813,65.572813
27,65.119582,65.119582
28,64.886968,64.886968
29,65.847366,65.847366
30,64.350354,64.350354
31,64.304335,64.304335
32,66.239747,66.239747
33,64.091775,64.091775
34,66.665182,66.665182
35,66.832304,66.832304
36,64.494971,64.494971
37,66.49435,66.49435
38,66.939704,66.939704
39,67.224473,67.224473
40,64.310295,64.310295
41,66.809764,66.809764
42,67.55911,67.55911
43,64.474031,64.474031
44,64.762537,64.762537
45,67.477011,67.477011
46,67.131054,67.131054
47,67.819456,67.819456
48,70.253622,70.253622
49,70.681923,70.681923
50,70.095105,70.095105
51,70.183811,70.183811
52,69.088143,69.088143
53,70.188135,70.188135
54,69.122336,69.122336
55,69.945965,69.945965
56,69.645851,69.645851
57,68.401347,68.401347
58,67.866499,67.866499
59,67.161799,67.161799
60,76.926868,76.926868
61,76.922004,76.922004
62,77.848358,77.848358
63,75.255332,75.255332
64,77.048401,77.048401
65,73.954797,73.954797
66,74.063333,74.063333
67,71.899931,71.899931
68,71.838314,71.838314
69,70.887097,70.887097
70,70.6582,70.6582
71,68.057265,68.057265
72,69.935081,69.935081
73,71.079558,71.079558
74,69.10906,69.10906
75,67.896512,67.896512
76,64.196362,64.196362
77,66.893162,66.893162
78,64.533512,64.533512
79,65.388381,65.388381
80,66.548743,66.548743
81,67.955882,67.955882
82,65.404058,65.404058
83,65.804171,65.804171
84,65.347903,65.347903
85,67.204902,67.204902
86,65.698167,65.698167
87,67.91496,67.91496
88,67.064648,67.064648
89,64.488111,64.488111
90,65.025945,65.025945
91,67.267623,67.267623
92,67.740932,67.740932
93,67.328495,67.328495
94,66.578727,66.578727
95,67.931198,67.931198
96,64.31745,64.31745
97,67.319224,67.319224
98,65.245259,65.245259
99,66.25109,66.25109
100,65.691712,65.691712
101,66.532316,66.532316
102,65.043963,65.043963
103,65.492828,65.492828
104,64.062433,64.062433
105,66.754554,66.754554
106,65.217439,65.217439
107,65.315066,65.315066
108,64.41347,64.41347
109,64.75263,64.75263
110,65.841462,65.841462
111,66.616551,66.616551
112,64.32114,64.32114
113,67.755986,67.755986
114,64.885592,64.885592
115,67.771252,67.771252
116,66.312911,66.312911
117,66.597168,66.597168
118,65.604523,65.604523
119,64.001971,64.001971
120,65.525868,65.525868
121,67.133917,67.133917
122,67.959948,67.959948
123,65.434799,65.434799
124,66.185048,66.185048
125,64.505658,64.505658
126,64.137634,64.137634
127,64.104779,64.104779
128,69.541532,69.541532
129,67.577465,67.577465
130,69.312233,69.312233
131,70.775168,70.775168
132,70.349819,70.349819
133,68.503034,68.503034
134,70.065388,70.065388
135,66.586619,66.586619
136,65.625878,65.625878
137,67.2592,67.2592
138,65.420642,65.420642
139,64.782862,64.782862
140,65.697385,65.697385
141,64.404716,64.404716
142,65.784718,65.784718
143,64.445331,64.445331
144,67.480964,67.480964
145,65.493669,65.493669
146,65.133275,65.133275
147,67.051318,67.051318
148,67.915749,67.915749
149,64.021884,64.021884
150,64.755478,64.755478
151,66.19538,66.19538
152,67.959637,67.959637
153,65.055405,65.055405
154,64.678143,64.678143
155,65.225864,65.225864
156,64.062106,64.062106
157,67.025802,67.025802
158,64.092137,64.092137
159,65.875855,65.875855
160,67.290429,67.290429
161,65.398759,65.398759
162,67.978412,67.978412
163,64.532151,64.532151
164,65.031319,65.031319
165,66.89639,66.89639
166,67.037816,67.037816
167,67.84099,67.84099
168,70.378501,70.378501
169,71.146449,71.146449
170,68.560261,68.560261
171,67.847634,67.847634
172,69.376798,69.376798
173,66.948511,66.948511
174,64.068666,64.068666
175,67.208608,67.208608
176,64.905683,64.905683
177,67.42553,67.42553
