Fault log of Dyd2
Iteration,Time(s),Value,Code
1956.000000,1957.000000,1.071218,-1.000000
1960.000000,1961.000000,1.086163,-1.000000
1981.000000,1982.000000,0.127155,-2.000000
2625.000000,2626.000000,1.082735,-1.000000
2633.000000,2634.000000,1.053093,-1.000000
2705.000000,2706.000000,0.987481,-1.000000
2803.000000,2804.000000,1.094755,-1.000000
3551.000000,3552.000000,0.996621,-1.000000
3562.000000,3563.000000,0.998987,-1.000000
3636.000000,3637.000000,1.114321,-1.000000
3640.000000,3641.000000,1.095598,-1.000000
3646.000000,3647.000000,1.088677,-1.000000
3657.000000,3658.000000,1.027450,-1.000000
3662.000000,3663.000000,1.302624,-1.000000
3668.000000,3669.000000,1.242968,-1.000000
3672.000000,3673.000000,1.026243,-1.000000
3682.000000,3683.000000,1.015756,-1.000000
3686.000000,3687.000000,1.055193,-1.000000
3689.000000,3690.000000,1.060439,-1.000000
3699.000000,3700.000000,1.064937,-1.000000
3703.000000,3704.000000,1.217732,-1.000000
3708.000000,3709.000000,1.057949,-1.000000
3712.000000,3713.000000,1.218295,-1.000000
3716.000000,3717.000000,0.959718,-1.000000
3719.000000,3720.000000,1.182138,-1.000000
3763.000000,3764.000000,1.159853,-1.000000
3768.000000,3769.000000,1.149796,-1.000000
3796.000000,3797.000000,1.258731,-1.000000
3799.000000,3800.000000,1.084145,-1.000000
3809.000000,3810.000000,1.174372,-1.000000
3820.000000,3821.000000,0.964171,-1.000000
3824.000000,3825.000000,1.257229,-1.000000
3832.000000,3833.000000,1.102408,-1.000000
3839.000000,3840.000000,1.274543,-1.000000
3845.000000,3846.000000,1.259312,-1.000000
3851.000000,3852.000000,1.153920,-1.000000
3855.000000,3856.000000,0.984315,-1.000000
3857.000000,3858.000000,1.087440,-1.000000
3864.000000,3865.000000,1.101145,-1.000000
3866.000000,3867.000000,0.972281,-1.000000
3870.000000,3871.000000,1.333138,-1.000000
3873.000000,3874.000000,0.947860,-1.000000
3876.000000,3877.000000,1.343455,-1.000000
3882.000000,3883.000000,1.302909,-1.000000
3887.000000,3888.000000,1.308062,-1.000000
3894.000000,3895.000000,1.126189,-1.000000
3905.000000,3906.000000,1.354702,-1.000000
3911.000000,3912.000000,1.304727,-1.000000
3918.000000,3919.000000,1.098773,-1.000000
3959.000000,3960.000000,0.948366,-1.000000
3985.000000,3986.000000,0.949324,-1.000000
3989.000000,3990.000000,0.990725,-1.000000
3996.000000,3997.000000,1.110047,-1.000000
4000.000000,4001.000000,0.950619,-1.000000
4006.000000,4007.000000,0.949391,-1.000000
4013.000000,4014.000000,0.972577,-1.000000
4023.000000,4024.000000,0.954055,-1.000000
5471.000000,5472.000000,1.013880,-1.000000
5912.000000,5913.000000,0.947665,-1.000000
6077.000000,6078.000000,0.996784,-1.000000
6410.000000,6411.000000,0.956945,-1.000000
6447.000000,6448.000000,0.967446,-1.000000
6450.000000,6451.000000,0.974158,-1.000000
6696.000000,6697.000000,1.069072,-1.000000
6760.000000,6761.000000,1.017900,-1.000000
6767.000000,6768.000000,1.008668,-1.000000
6775.000000,6776.000000,0.961189,-1.000000
6804.000000,6805.000000,1.111970,-1.000000
6808.000000,6809.000000,1.099834,-1.000000
6820.000000,6821.000000,1.074335,-1.000000
6894.000000,6895.000000,0.955136,-1.000000
7037.000000,7038.000000,0.975235,-1.000000
7041.000000,7042.000000,0.999300,-1.000000
7401.000000,7402.000000,0.996076,-1.000000
7545.000000,7546.000000,1.010800,-1.000000
7663.000000,7664.000000,1.071759,-1.000000
7879.000000,7880.000000,1.142691,-1.000000
7886.000000,7887.000000,1.229516,-1.000000
7888.000000,7889.000000,1.072180,-1.000000
7893.000000,7894.000000,1.093475,-1.000000
8056.000000,8057.000000,1.265540,-1.000000
8289.000000,8290.000000,1.088444,-1.000000
8515.000000,8516.000000,1.076031,-1.000000
8697.000000,8698.000000,0.955461,-1.000000
8715.000000,8716.000000,1.079611,-1.000000
8877.000000,8878.000000,0.982024,-1.000000
9015.000000,9016.000000,1.128275,-1.000000
9096.000000,9097.000000,0.987640,-1.000000
9100.000000,9101.000000,0.999321,-1.000000
9104.000000,9105.000000,0.996434,-1.000000
9166.000000,9167.000000,0.999951,-1.000000
9240.000000,9241.000000,0.964388,-1.000000
9260.000000,9261.000000,0.977049,-1.000000
9271.000000,9272.000000,0.988889,-1.000000
9274.000000,9275.000000,0.958182,-1.000000
9277.000000,9278.000000,0.985662,-1.000000
9340.000000,9341.000000,1.124169,-1.000000
9347.000000,9348.000000,1.373229,-1.000000
9349.000000,9350.000000,1.096342,-1.000000
9352.000000,9353.000000,1.167050,-1.000000
9357.000000,9358.000000,1.148660,-1.000000
9360.000000,9361.000000,0.961033,-1.000000
9370.000000,9371.000000,0.965791,-1.000000
9422.000000,9423.000000,0.992766,-1.000000
9426.000000,9427.000000,1.126890,-1.000000
9660.000000,9661.000000,0.982293,-1.000000
9726.000000,9727.000000,0.958149,-1.000000
9731.000000,9732.000000,0.981717,-1.000000
9749.000000,9750.000000,0.983100,-1.000000
9763.000000,9764.000000,1.001701,-1.000000
9771.000000,9772.000000,0.975389,-1.000000
9789.000000,9790.000000,0.987223,-1.000000
9799.000000,9800.000000,1.131873,-1.000000
9803.000000,9804.000000,0.971230,-1.000000
9807.000000,9808.000000,0.991708,-1.000000
9809.000000,9810.000000,1.092971,-1.000000
9811.000000,9812.000000,0.988135,-1.000000
9817.000000,9818.000000,0.960283,-1.000000
9827.000000,9828.000000,0.985737,-1.000000
9844.000000,9845.000000,0.960796,-1.000000
9933.000000,9934.000000,0.957758,-1.000000
9954.000000,9955.000000,1.120597,-1.000000
9960.000000,9961.000000,1.343642,-1.000000
9964.000000,9965.000000,1.129400,-1.000000
9966.000000,9967.000000,1.278764,-1.000000
9968.000000,9969.000000,1.116346,-1.000000
9986.000000,9987.000000,0.994954,-1.000000
