Fault log of Dyd2
Iteration,Time(s),Current(A),Code
63.000000,64.000000,0.876869,-1.000000
378.000000,379.000000,0.725412,-1.000000
447.000000,448.000000,-0.042862,-1.000000
450.000000,451.000000,0.053368,-1.000000
516.000000,517.000000,-0.007719,-1.000000
520.000000,521.000000,-0.044499,-1.000000
531.000000,532.000000,-0.057414,-1.000000
535.000000,536.000000,0.021288,-1.000000
546.000000,547.000000,-0.045293,-1.000000
560.000000,561.000000,-0.014984,-1.000000
584.000000,585.000000,0.074029,-1.000000
592.000000,593.000000,-0.019073,-1.000000
599.000000,600.000000,-0.018973,-1.000000
1146.000000,1147.000000,0.065943,-1.000000
1156.000000,1157.000000,0.078313,-1.000000
1161.000000,1162.000000,0.025345,-1.000000
1172.000000,1173.000000,0.062779,-1.000000
1179.000000,1180.000000,0.032127,-1.000000
1185.000000,1186.000000,-0.052650,-1.000000
1192.000000,1193.000000,0.029654,-1.000000
1196.000000,1197.000000,0.091781,-1.000000
1199.000000,1200.000000,0.618423,-1.000000
1204.000000,1205.000000,0.092694,-1.000000
1213.000000,1214.000000,0.086050,-1.000000
1216.000000,1217.000000,0.006410,-1.000000
1221.000000,1222.000000,0.030368,-1.000000
1244.000000,1245.000000,0.060150,-1.000000
1248.000000,1249.000000,-0.044767,-1.000000
1253.000000,1254.000000,0.067387,-1.000000
1257.000000,1258.000000,-0.001362,-1.000000
1260.000000,1261.000000,-0.037248,-1.000000
1493.000000,1494.000000,-0.013472,-1.000000
1502.000000,1503.000000,0.677990,-1.000000
1516.000000,1517.000000,-0.050952,-1.000000
1519.000000,1520.000000,-0.025733,-1.000000
1522.000000,1523.000000,0.086470,-1.000000
1529.000000,1530.000000,-0.028266,-1.000000
1536.000000,1537.000000,0.053684,-1.000000
1541.000000,1542.000000,0.008073,-1.000000
1547.000000,1548.000000,-0.006281,-1.000000
1552.000000,1553.000000,0.005330,-1.000000
1557.000000,1558.000000,-0.016387,-1.000000
1560.000000,1561.000000,-0.033940,-1.000000
1586.000000,1587.000000,0.653759,-1.000000
1590.000000,1591.000000,0.001584,-1.000000
1612.000000,1613.000000,0.648420,-1.000000
1619.000000,1620.000000,0.645766,-1.000000
1622.000000,1623.000000,0.596685,-1.000000
1751.000000,1752.000000,0.696142,-1.000000
1761.000000,1762.000000,0.034483,-1.000000
1769.000000,1770.000000,0.068980,-1.000000
1777.000000,1778.000000,0.672364,-1.000000
1782.000000,1783.000000,0.067779,-1.000000
1785.000000,1786.000000,0.087680,-1.000000
1792.000000,1793.000000,0.086233,-1.000000
1803.000000,1804.000000,0.028743,-1.000000
1807.000000,1808.000000,-0.009122,-1.000000
1817.000000,1818.000000,0.035307,-1.000000
1820.000000,1821.000000,0.009105,-1.000000
1824.000000,1825.000000,-0.058294,-1.000000
1830.000000,1831.000000,0.637139,-1.000000
1835.000000,1836.000000,0.646612,-1.000000
1842.000000,1843.000000,0.071832,-1.000000
1845.000000,1846.000000,-0.048577,-1.000000
1852.000000,1853.000000,0.048950,-1.000000
1908.000000,1909.000000,0.734760,-1.000000
1915.000000,1916.000000,0.666101,-1.000000
1923.000000,1924.000000,-0.046338,-1.000000
1930.000000,1931.000000,0.018711,-1.000000
1944.000000,1945.000000,0.013526,-1.000000
1948.000000,1949.000000,-0.022321,-1.000000
1956.000000,1957.000000,0.999742,-1.000000
1965.000000,1966.000000,0.833357,-1.000000
1972.000000,1973.000000,0.075973,-1.000000
1975.000000,1976.000000,-0.030335,-1.000000
1983.000000,1984.000000,-0.018975,-1.000000
1991.000000,1992.000000,-0.045213,-1.000000
1996.000000,1997.000000,0.031064,-1.000000
2006.000000,2007.000000,0.091105,-1.000000
2011.000000,2012.000000,0.052385,-1.000000
2014.000000,2015.000000,0.034647,-1.000000
2019.000000,2020.000000,-0.036065,-1.000000
2027.000000,2028.000000,0.074650,-1.000000
2261.000000,2262.000000,0.573887,-1.000000
2268.000000,2269.000000,0.588514,-1.000000
2285.000000,2286.000000,0.562435,-1.000000
2359.000000,2360.000000,0.561713,-1.000000
2387.000000,2388.000000,0.578032,-1.000000
