Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),LatchCurrent (mA)
1,66.531591
2,64.190186
3,65.409217
4,67.057596
5,65.763673
6,66.947528
7,67.039252
8,67.739762
9,64.304152
10,65.298883
11,65.03506
12,67.728736
13,65.810445
14,66.592983
15,65.609647
16,66.744916
17,67.898866
18,66.728358
19,67.57248
20,65.371498
21,66.60854
22,65.331218
23,66.455506
24,67.912491
25,64.468804
26,67.342864
27,67.989232
28,67.135077
29,65.515844
30,66.496458
31,66.800568
32,66.383766
33,65.285592
34,67.926533
35,67.518506
36,66.19213
37,65.290081
38,65.496653
39,64.753984
40,65.878621
41,69.790357
42,70.74408
43,68.031335
44,70.806529
45,69.769463
46,70.52687
47,70.863277
48,68.884533
49,67.369263
50,68.814408
51,68.306271
52,70.815501
53,68.865554
54,69.327512
55,66.823335
56,66.784906
57,67.388497
58,66.202625
59,64.485748
60,67.966493
61,67.623092
62,67.342683
63,67.437399
64,64.04124
65,67.649728
66,67.240523
67,65.173496
68,66.108909
69,65.495437
70,64.359511
71,67.083233
72,67.244032
73,67.881249
74,66.128783
75,68.980704
76,67.946783
77,68.455116
78,68.126876
79,68.472332
80,66.416503
81,69.680415
82,70.104408
83,68.978956
84,69.011238
85,67.668432
86,67.803706
87,66.648447
88,67.06023
89,67.1233
90,66.419533
91,68.061675
92,69.801021
93,67.946703
94,64.677745
95,65.740771
96,67.713394
97,67.667147
98,66.085691
99,68.378908
100,68.770509
101,70.906043
102,67.805961
103,68.335575
104,69.273624
105,69.610368
106,70.268692
107,69.442898
108,68.26611
109,70.242829
110,70.709705
111,70.580451
112,71.006652
113,67.18733
114,67.860738
115,65.475849
116,64.129062
117,65.457778
118,65.206256
119,65.459702
120,67.688882
121,65.543242
122,67.415596
123,66.627148
124,67.561206
125,65.139284
126,64.862663
127,64.954008
128,67.818651
129,67.709459
130,65.400759
131,66.489297
132,66.652546
133,66.301115
134,66.993544
135,67.211643
136,67.652954
137,67.712208
138,64.001341
139,67.607735
140,65.973654
141,67.027308
142,66.48607
143,65.029907
144,67.07402
145,67.309624
146,67.336223
147,65.318534
148,64.876308
149,66.696784
150,67.029944
151,65.125287
152,66.408233
153,66.88536
154,67.744513
155,65.741167
156,66.145071
157,65.247517
158,66.13259
159,67.719895
160,64.878638
161,66.620416
162,66.187645
163,65.080846
164,66.896701
165,64.534902
166,64.685952
167,64.584111
168,67.377507
169,66.285795
170,64.878739
171,65.342695
172,65.59518
173,67.555315
174,66.326177
175,66.05608
176,65.076056
177,64.61008
178,64.595455
179,65.539677
180,67.471536
181,64.822535
182,66.159348
183,66.315416
184,67.839417
185,67.932839
186,65.357353
187,65.582805
188,64.902291
189,66.212025
190,67.91837
191,66.373509
192,64.029386
193,67.579145
194,65.880247
195,65.722237
196,67.004834
197,67.530305
198,67.541478
199,65.559706
200,67.365272
201,65.402108
202,65.718402
203,65.533366
204,66.265903
205,67.598453
206,64.817322
207,65.295027
208,67.489382
209,66.697951
210,66.770704
211,65.538854
212,65.657271
213,66.44745
214,64.338433
215,67.684516
216,69.324729
217,67.668067
218,67.481195
219,70.493731
220,68.207189
221,70.214392
222,68.680036
223,72.586934
224,71.584037
225,70.505326
226,69.456595
227,72.670873
228,69.468924
229,71.513658
230,72.877626
231,71.25862
232,70.545943
233,71.704856
234,68.734461
235,69.711919
236,67.421472
237,64.561173
238,65.793762
239,65.467158
240,64.331034
241,66.893726
242,66.579228
243,67.462688
244,66.912294
245,67.441836
246,67.780827
247,67.035194
248,65.065551
249,66.704441
250,67.162884
251,64.449705
252,65.440486
253,66.153781
254,65.458221
255,67.597706
256,64.857939
257,66.510724
258,67.814298
259,65.462681
260,64.347792
261,64.180787
262,66.270397
263,65.64229
264,64.699213
265,66.425532
266,65.764321
267,66.35367
268,64.064882
269,67.847577
270,65.586864
271,64.600285
272,67.643747
273,66.45588
274,66.412412
275,66.86511
276,65.912944
277,66.729967
278,64.249913
279,66.145445
280,66.953552
281,66.043467
282,65.323952
283,64.955009
284,66.501479
285,66.125295
286,69.111418
