Log of Dyd2
Training on train set: H:\DIAG_RAD\DataSets\endThesisValidationData\simulations\trainSet\microLatch\datas5\normalCurrent.txt
Testing on test set: H:\DIAG_RAD\DataSets\endThesisValidationData\simulations\testSet\bigLinearDeviationMicroLatch\datas9\dataSet.txt
Window size: 20
UCL size rupture: 0.200000
UCL size outer: 0.050000
UCL size inner: 0.150000
feature number: 3
age threshold raw uCl: 2
age threshold precise uCl: 2
score threshold: 0.000000
age penalty: 0.975000
Iteration,Time(s),Current(A),Current_Scale,Code1,Code2,Reset_State
0.000000,1.000000,66.531593,0.287679,0.000000,0.000000,0.000000
1.000000,2.000000,64.190186,0.138926,0.000000,0.000000,0.000000
2.000000,3.000000,65.409218,0.216373,0.000000,0.000000,0.000000
3.000000,4.000000,67.057594,0.321096,0.000000,0.000000,0.000000
4.000000,5.000000,65.763672,0.238892,0.000000,0.000000,0.000000
5.000000,6.000000,66.947525,0.314104,0.000000,0.000000,0.000000
6.000000,7.000000,67.039253,0.319931,0.000000,0.000000,0.000000
7.000000,8.000000,67.739761,0.364435,0.000000,0.000000,0.000000
8.000000,9.000000,64.304153,0.146167,0.000000,0.000000,0.000000
9.000000,10.000000,65.298882,0.209363,0.000000,0.000000,0.000000
10.000000,11.000000,65.035057,0.192602,0.000000,0.000000,0.000000
11.000000,12.000000,67.728737,0.363735,0.000000,0.000000,0.000000
12.000000,13.000000,65.810448,0.241864,0.000000,0.000000,0.000000
13.000000,14.000000,66.592979,0.291579,0.000000,0.000000,0.000000
14.000000,15.000000,65.609650,0.229107,0.000000,0.000000,0.000000
15.000000,16.000000,66.744919,0.301232,0.000000,0.000000,0.000000
16.000000,17.000000,67.898865,0.374543,0.000000,0.000000,0.000000
17.000000,18.000000,66.728355,0.300180,0.000000,0.000000,0.000000
18.000000,19.000000,67.572479,0.353808,0.000000,0.000000,0.000000
19.000000,20.000000,65.371498,0.213977,0.000000,0.000000,0.000000
20.000000,21.000000,66.608543,0.292568,0.000000,0.000000,0.000000
21.000000,22.000000,65.331215,0.211417,0.000000,0.000000,1.000000
22.000000,23.000000,66.455505,0.282845,0.000000,0.000000,0.000000
23.000000,24.000000,67.912491,0.375409,-1.000000,0.000000,0.000000
24.000000,25.000000,64.468803,0.156627,-1.000000,0.000000,0.000000
25.000000,26.000000,67.342865,0.339220,-1.000000,0.000000,0.000000
26.000000,27.000000,67.989235,0.380285,-1.000000,0.000000,1.000000
27.000000,28.000000,67.135078,0.326019,-1.000000,0.000000,1.000000
28.000000,29.000000,65.515846,0.223147,-1.000000,0.000000,0.000000
29.000000,30.000000,66.496460,0.285447,-1.000000,0.000000,1.000000
30.000000,31.000000,66.800568,0.304767,-1.000000,0.000000,0.000000
31.000000,32.000000,66.383766,0.278287,-1.000000,0.000000,0.000000
32.000000,33.000000,65.285591,0.208519,-1.000000,0.000000,0.000000
33.000000,34.000000,67.926537,0.376301,-1.000000,0.000000,1.000000
34.000000,35.000000,67.518509,0.350379,-1.000000,0.000000,0.000000
35.000000,36.000000,66.192131,0.266113,-1.000000,0.000000,0.000000
36.000000,37.000000,65.290077,0.208804,-1.000000,0.000000,0.000000
37.000000,38.000000,65.496651,0.221928,-1.000000,0.000000,1.000000
38.000000,39.000000,64.753983,0.174745,-1.000000,0.000000,0.000000
39.000000,40.000000,65.878624,0.246195,-1.000000,0.000000,1.000000
40.000000,41.000000,69.790359,0.494712,0.000000,0.000000,1.000000
41.000000,42.000000,70.744080,0.555304,1.000000,0.000000,0.000000
42.000000,43.000000,68.031334,0.382959,-1.000000,0.000000,0.000000
43.000000,44.000000,70.806526,0.559271,0.000000,0.000000,1.000000
44.000000,45.000000,69.769463,0.493385,1.000000,0.000000,1.000000
45.000000,46.000000,70.526871,0.541504,0.000000,0.000000,0.000000
46.000000,47.000000,70.863274,0.562876,0.000000,0.000000,0.000000
47.000000,48.000000,68.884537,0.437164,0.000000,0.000000,1.000000
48.000000,49.000000,67.369263,0.340897,-1.000000,0.000000,0.000000
49.000000,50.000000,68.814407,0.432709,-1.000000,0.000000,0.000000
50.000000,51.000000,68.306274,0.400427,-1.000000,0.000000,1.000000
51.000000,52.000000,70.815498,0.559841,0.000000,0.000000,1.000000
52.000000,53.000000,68.865555,0.435958,0.000000,0.000000,0.000000
53.000000,54.000000,69.327515,0.465307,0.000000,0.000000,0.000000
54.000000,55.000000,66.823334,0.306214,-1.000000,0.000000,0.000000
55.000000,56.000000,66.784904,0.303772,-1.000000,0.000000,1.000000
56.000000,57.000000,67.388496,0.342119,-1.000000,0.000000,0.000000
57.000000,58.000000,66.202621,0.266779,-1.000000,0.000000,1.000000
58.000000,59.000000,64.485748,0.157704,-1.000000,0.000000,0.000000
59.000000,60.000000,67.966492,0.378840,-1.000000,0.000000,0.000000
60.000000,61.000000,67.623093,0.357023,-1.000000,0.000000,1.000000
61.000000,62.000000,67.342682,0.339208,-1.000000,0.000000,0.000000
62.000000,63.000000,67.437401,0.345226,-1.000000,0.000000,0.000000
63.000000,64.000000,64.041237,0.129463,-1.000000,0.000000,0.000000
64.000000,65.000000,67.649727,0.358715,-1.000000,0.000000,0.000000
