!!!!!WARNING: DUMMY DATA SET!!!!!!
Temps(ms),Voie3,Voie4
0.0,10.0,13
10.0,11.0,12
20.0,12.0,13
30.0,12.0,13
40.0,12.0,13
50.0,11.0,13
60.0,12.0,13
70.0,12.0,12
80.0,12.0,13
90.0,12.0,13
100.0,11.0,12
110.0,13.0,13
120.0,12.0,12
130.0,11.0,12
140.0,8.0,13
150.0,10.0,13
160.0,10.0,12
170.0,12.0,13
180.0,12.0,13
190.0,10.0,13
200.0,12.0,13
210.0,11.0,12
220.0,13.0,13
230.0,13.0,12
240.0,11.0,13
250.0,13.0,12
260.0,10.0,12
270.0,9.0,13
280.0,13.0,13
290.0,13.0,12
300.0,10.0,12
310.0,13.0,12
320.0,11.0,12
330.0,11.0,12
340.0,11.0,13
350.0,11.0,13
360.0,11.0,13
370.0,11.0,12
380.0,13.0,13
390.0,12.0,13
400.0,10.0,12
410.0,12.0,13
420.0,11.0,13
430.0,11.0,12
440.0,12.0,13
450.0,11.0,13
460.0,10.0,12
470.0,11.0,12
480.0,13.0,12
490.0,10.0,13
500.0,12.0,13
510.0,11.0,13
520.0,12.0,13
530.0,10.0,13
540.0,10.0,13
550.0,12.0,13
560.0,12.0,13
570.0,12.0,13
580.0,11.0,13
590.0,11.0,12
600.0,11.0,13
610.0,12.0,12
620.0,12.0,12
630.0,13.0,13
640.0,11.0,12
650.0,11.0,13
660.0,12.0,12
670.0,10.0,12
680.0,11.0,13
690.0,10.0,13
700.0,14.0,12
710.0,11.0,13
720.0,11.0,13
730.0,12.0,12
740.0,12.0,12
750.0,14.0,13
760.0,11.0,13
770.0,11.0,12
780.0,14.0,12
790.0,10.0,12
800.0,11.0,12
810.0,13.0,12
820.0,12.0,12
830.0,11.0,13
840.0,12.0,13
850.0,12.0,13
860.0,12.0,13
870.0,13.0,12
880.0,12.0,12
890.0,12.0,13
900.0,12.0,13
910.0,13.0,13
920.0,12.0,13
930.0,7.0,13
940.0,12.0,13
950.0,12.0,12
960.0,12.0,13
970.0,12.0,12
980.0,12.0,12
990.0,11.0,12
1000.0,12.0,13
1010.0,12.0,12
1020.0,12.0,12
1030.0,12.0,13
1040.0,12.0,13
1050.0,10.0,13
1060.0,11.0,12
1070.0,10.0,13
1080.0,11.0,13
1090.0,10.0,12
1100.0,12.0,12
1110.0,10.0,13
1120.0,12.0,12
1130.0,11.0,13
1140.0,11.0,12
1150.0,11.0,13
1160.0,11.0,13
1170.0,12.0,13
1180.0,9.0,13
1190.0,12.0,12
1200.0,10.0,13
1210.0,13.0,12
1220.0,12.0,13
1230.0,14.0,12
1240.0,11.0,12
1250.0,10.0,12
1260.0,12.0,12
1270.0,9.0,12
1280.0,11.0,12
1290.0,13.0,12
1300.0,12.0,12
1310.0,11.0,12
1320.0,10.0,11
1330.0,12.0,12
1340.0,12.0,12
1350.0,11.0,12
1360.0,11.0,12
1370.0,12.0,12
1380.0,13.0,13
1390.0,12.0,13
1400.0,11.0,12
1410.0,11.0,13
1420.0,11.0,13
1430.0,10.0,12
1440.0,12.0,12
1450.0,9.0,13
1460.0,12.0,12
1470.0,12.0,12
1480.0,11.0,12
1490.0,12.0,13
1500.0,10.0,12
1510.0,12.0,13
1520.0,11.0,12
1530.0,10.0,12
1540.0,11.0,13
1550.0,12.0,13
1560.0,12.0,13
1570.0,10.0,12
1580.0,11.0,12
1590.0,12.0,12
1600.0,13.0,13
1610.0,10.0,12
1620.0,12.0,12
1630.0,12.0,13
1640.0,12.0,13
1650.0,11.0,13
1660.0,11.0,12
1670.0,12.0,13
1680.0,12.0,12
