Temps(ms),Voie3,Voie4
0.0,10.0,12
10.0,11.0,13
20.0,10.0,13
30.0,12.0,13
40.0,12.0,13
50.0,10.0,13
60.0,12.0,12
70.0,12.0,13
80.0,13.0,13
90.0,12.0,13
100.0,13.0,13
110.0,11.0,13
120.0,12.0,13
130.0,10.0,13
140.0,11.0,13
150.0,14.0,13
160.0,11.0,13
170.0,11.0,13
180.0,11.0,13
190.0,12.0,13
200.0,12.0,13
210.0,12.0,12
220.0,12.0,13
230.0,11.0,13
240.0,12.0,13
250.0,13.0,13
260.0,12.0,13
270.0,10.0,13
280.0,10.0,12
290.0,13.0,13
300.0,10.0,13
310.0,11.0,13
320.0,10.0,12
330.0,12.0,13
340.0,9.0,14
350.0,13.0,13
360.0,11.0,13
370.0,11.0,12
380.0,11.0,12
390.0,12.0,12
400.0,12.0,13
410.0,10.0,13
420.0,11.0,13
430.0,12.0,12
440.0,11.0,13
450.0,12.0,13
460.0,12.0,13
470.0,12.0,13
480.0,10.0,12
490.0,13.0,12
500.0,10.0,13
510.0,12.0,13
520.0,12.0,12
530.0,12.0,13
540.0,11.0,12
550.0,11.0,13
560.0,12.0,13
570.0,11.0,13
580.0,12.0,13
590.0,11.0,12
600.0,11.0,13
610.0,11.0,13
620.0,12.0,13
630.0,12.0,13
640.0,12.0,13
650.0,13.0,13
660.0,12.0,13
670.0,12.0,13
680.0,10.0,12
690.0,12.0,12
700.0,11.0,12
710.0,12.0,12
720.0,10.0,13
730.0,12.0,13
740.0,11.0,12
750.0,12.0,13
760.0,11.0,13
770.0,12.0,12
780.0,14.0,12
790.0,12.0,12
800.0,12.0,12
810.0,11.0,13
820.0,12.0,12
830.0,10.0,12
840.0,9.0,12
850.0,11.0,12
860.0,11.0,12
870.0,12.0,12
880.0,11.0,13
890.0,12.0,12
900.0,11.0,13
910.0,11.0,12
920.0,12.0,12
930.0,13.0,13
940.0,14.0,12
950.0,10.0,12
960.0,13.0,12
970.0,11.0,12
980.0,13.0,13
990.0,12.0,12
1000.0,10.0,12
