Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),LatchCurrent (mA)
1,64.13436
2,66.9227
3,67.93452
4,64.4728
5,65.15393
6,64.51645
7,67.4252
8,64.19233
9,67.94821
10,65.07953
11,66.87505
12,65.33955
13,66.68184
14,67.71803
15,65.92238
16,67.4582
17,64.0444
18,66.18042
19,67.84507
20,65.51073
21,67.97964
22,66.89154
23,67.92883
24,68.72605
25,72.50101
26,71.90263
27,68.93486
28,71.77663
29,70.26005
30,66.78928
31,69.90136
32,67.19088
33,65.68789
34,65.28609
35,64.46955
36,64.96473
37,64.82456
38,65.12004
39,64.41543
40,65.64317
41,66.85673
42,64.75724
43,67.84234
44,67.12264
45,66.54875
46,65.47627
47,65.0317
48,65.73334
49,67.7945
50,66.4858
51,66.95868
52,64.33896
53,65.41479
54,64.38821
55,66.07882
56,65.92191
57,67.0427
58,66.56604
59,66.71693
60,66.03168
61,67.4516
62,66.74952
63,64.07609
64,65.16405
65,66.78316
66,65.46155
67,64.6236
68,67.16877
69,65.76854
70,66.39571
71,66.03687
72,67.47469
73,66.89727
74,64.88406
75,64.86908
76,64.93498
77,67.94384
78,67.12266
79,67.924
80,67.74381
81,64.37575
82,64.10464
83,69.94539
84,66.47914
85,66.35712
86,67.97046
87,66.84676
88,67.72391
89,68.34554
90,68.30607
91,68.80497
92,69.78711
93,68.36101
94,64.31542
95,64.35636
96,67.01456
97,64.85421
98,66.60816
99,66.81116
100,65.71772
101,67.16149
102,66.20218
103,65.1882
104,65.07069
105,67.5231
106,64.38397
107,64.1611
108,66.34654
109,66.78592
110,66.48857
111,67.99476
112,66.37795
113,65.33017
114,67.64766
115,67.52868
116,66.10429
117,70.56796
118,68.23392
119,67.97956
120,68.92817
121,69.26334
122,68.90784
123,70.97719
124,69.59384
125,68.01343
126,68.61623
127,67.80752
128,65.38112
129,67.82196
130,66.56622
131,65.65642
132,65.9516
133,64.85237
134,67.20711
135,65.242
136,66.55468
137,65.67027
138,66.65059
139,67.60751
140,64.43035
141,69.29284
142,68.93561
143,70.36363
144,69.38608
145,68.19843
146,68.68323
147,67.88093
148,67.086
149,67.96973
150,70.28236
151,69.82036
152,72.64964
153,71.90779
154,67.35561
155,69.44692
156,67.98657
157,69.39907
158,69.70488
159,69.45004
160,66.93216
161,68.26915
162,69.45175
163,66.74785
164,70.41322
165,67.3154
166,68.54449
167,70.05964
168,67.12563
169,70.55118
170,68.20088
171,67.31082
172,69.84626
173,66.6627
174,66.26447
175,64.2303
176,66.68573
177,66.36372
178,65.0046
179,64.00921
180,66.13106
181,72.2556
182,69.83045
183,71.12767
184,70.46609
185,70.35191
186,69.95402
187,72.27023
188,70.21593
189,71.68187
190,72.06939
191,69.16614
192,69.87695
193,73.78494
194,72.75793
195,74.06005
196,72.80669
197,74.12476
198,76.07922
199,76.44282
200,75.10651
201,73.97754
202,81.76466
203,81.43812
204,78.80383
205,80.82848
206,76.48853
207,80.88575
208,77.86218
209,72.5171
210,71.53159
211,73.32433
212,76.10715
213,67.90383
214,68.37921
215,70.43263
216,70.69222
217,67.44534
218,69.78165
219,72.63759
220,62.77045
221,65.2407
222,63.53619
223,67.87582
224,69.08438
225,64.36712
226,62.66702
227,70.76267
228,66.35171
229,71.21806
