Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,65.57007,65.57007
2,66.74071,66.74071
3,67.95437,67.95437
4,65.8978,65.8978
5,67.23105,67.23105
6,64.40107,64.40107
7,65.97078,65.97078
8,66.57181,66.57181
9,66.70219,66.70219
10,66.51469,66.51469
11,65.39506,65.39506
12,64.01235,64.01235
13,64.39588,64.39588
14,65.036,65.036
15,65.82901,65.82901
16,66.24767,66.24767
17,67.75202,67.75202
18,66.51672,66.51672
19,66.67972,66.67972
20,65.55769,65.55769
21,64.77314,64.77314
22,67.29213,67.29213
23,64.95687,64.95687
24,65.70693,65.70693
25,64.89644,64.89644
26,64.29636,64.29636
27,67.67082,67.67082
28,64.73601,64.73601
29,65.64062,65.64062
30,67.49062,67.49062
31,64.56051,64.56051
32,64.18955,64.18955
33,66.09001,66.09001
34,67.58814,67.58814
35,66.28043,66.28043
36,67.84028,67.84028
37,65.78382,65.78382
38,67.9703,67.9703
39,67.22403,67.22403
40,66.55648,66.55648
41,69.60985,69.60985
42,67.35996,67.35996
43,68.00009,68.00009
44,67.35944,67.35944
45,66.83916,66.83916
46,69.02958,69.02958
47,68.16388,68.16388
48,69.98588,69.98588
49,70.14391,70.14391
50,67.98835,67.98835
51,67.66434,67.66434
52,64.06041,64.06041
53,65.82541,65.82541
54,66.06962,66.06962
55,65.45524,65.45524
56,65.87407,65.87407
57,66.93074,66.93074
58,65.44303,65.44303
59,67.17645,67.17645
60,67.15785,67.15785
61,64.41551,64.41551
62,67.73483,67.73483
63,67.87847,67.87847
64,66.20803,66.20803
65,66.44625,66.44625
66,64.98793,64.98793
67,65.30502,65.30502
68,65.24496,65.24496
69,65.47876,65.47876
70,67.05202,67.05202
71,65.01087,65.01087
72,67.84434,67.84434
73,65.82909,65.82909
74,65.17173,65.17173
75,64.30987,64.30987
76,67.99267,67.99267
77,65.51391,65.51391
78,65.35203,65.35203
79,67.72565,67.72565
80,66.9448,66.9448
81,65.90442,65.90442
82,66.12867,66.12867
83,65.95128,65.95128
84,67.78,67.78
85,67.58053,67.58053
86,64.04775,64.04775
87,64.04043,64.04043
88,66.02182,66.02182
89,66.7551,66.7551
90,66.25369,66.25369
91,67.31884,67.31884
92,64.22651,64.22651
93,64.53453,64.53453
94,66.8991,66.8991
95,67.55518,67.55518
96,66.00605,66.00605
97,65.63807,65.63807
98,66.78278,66.78278
99,65.73775,65.73775
100,65.9306,65.9306
101,67.74163,67.74163
102,67.86318,67.86318
103,70.35313,70.35313
104,70.39891,70.39891
105,70.19761,70.19761
106,67.82485,67.82485
107,68.20229,68.20229
108,64.25002,64.25002
109,66.75371,66.75371
110,67.40671,67.40671
111,67.80779,67.80779
112,64.74443,64.74443
113,66.12196,66.12196
114,67.30925,67.30925
115,65.63295,65.63295
116,67.06294,67.06294
117,65.55517,65.55517
118,67.64118,67.64118
119,65.45971,65.45971
120,67.52559,67.52559
121,67.02021,67.02021
122,64.35418,64.35418
123,66.64705,66.64705
124,65.30382,65.30382
125,66.36364,66.36364
126,64.39049,64.39049
127,64.40062,64.40062
128,65.29002,65.29002
129,67.47722,67.47722
130,66.28434,66.28434
131,64.7365,64.7365
132,66.28024,66.28024
133,65.41837,65.41837
134,66.41457,66.41457
135,67.60482,67.60482
136,65.58977,65.58977
137,66.49676,66.49676
138,66.32807,66.32807
139,65.48185,65.48185
140,67.74029,67.74029
141,66.57087,66.57087
142,64.96009,64.96009
143,66.95792,66.95792
144,64.0373,64.0373
145,67.41543,67.41543
146,67.24634,67.24634
147,64.63334,64.63334
148,65.06967,65.06967
149,65.99895,65.99895
150,64.00246,64.00246
151,66.16623,66.16623
152,67.80074,74.47025
153,64.46835,71.13786
154,65.21631,71.88582
155,67.38105,74.05056
156,65.87686,72.54637
157,65.09606,71.76557
158,65.86616,72.53567
159,64.94452,71.61403
160,67.6946,74.36411
161,67.75125,74.42076
162,64.07487,70.74438
163,64.80033,71.46984
164,64.49927,71.16878
