Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),normalCurrent (mA)
1,64.30717
2,64.95656
3,67.29792
4,66.30662
5,65.50354
6,65.02881
7,66.38109
8,64.85631
9,64.57333
10,64.0843
11,64.37674
12,65.12529
13,64.90277
14,67.09775
15,67.72326
16,66.88436
17,67.89087
18,65.12737
19,64.20635
20,66.44871
21,66.90179
22,64.15548
23,66.92248
24,65.77527
25,65.43147
26,66.67091
27,64.31379
28,65.88151
29,64.84751
30,67.33355
31,65.35447
32,65.02229
33,67.01906
34,65.02161
35,67.33453
36,67.21569
37,67.25987
38,66.8931
39,64.67577
40,66.27943
41,64.70164
42,64.14764
43,66.74845
44,66.74873
45,64.60298
46,67.85339
47,64.93017
48,67.89264
49,67.04573
50,64.6233
51,65.78602
52,66.38921
53,64.86423
54,66.89225
55,66.65373
56,65.62314
57,64.53631
58,66.49576
59,64.11154
60,66.27242
61,67.84186
62,66.45763
63,65.1471
64,66.40778
65,64.33088
66,65.72294
67,66.04253
68,67.22072
69,64.62728
70,66.47647
71,67.96508
72,66.94208
73,64.98293
74,67.9329
75,65.51183
76,64.4197
77,66.46147
78,65.01127
79,66.47885
80,67.80243
81,67.47385
82,64.01737
83,65.68459
84,67.09818
85,66.80433
86,66.71439
87,65.82805
88,65.73403
89,66.29078
90,64.49299
91,65.96929
92,64.55582
93,65.41627
94,65.30693
95,68.09861
96,66.9141
97,69.09709
98,70.27293
99,70.31598
100,68.63004
101,69.1681
102,70.46199
103,70.12718
104,70.47368
105,67.12881
106,71.03082
107,72.33177
108,70.97599
109,71.94944
110,71.08574
111,70.41342
112,71.00903
113,73.11043
114,70.24109
115,69.99395
116,66.96643
117,67.98369
118,70.40604
119,70.21987
120,70.51174
121,68.44763
122,70.17043
123,69.80729
124,66.84869
125,68.75096
126,64.25939
127,67.77046
128,65.74337
129,66.99021
130,67.12887
131,66.7678
132,66.49128
133,64.38338
134,67.40422
135,67.53084
136,65.23702
137,67.18318
138,67.90167
139,67.52133
140,65.54063
141,64.84251
142,64.59831
143,66.2947
144,64.4632
145,67.25272
146,67.42139
147,64.09914
148,64.13865
149,65.73568
150,64.68075
151,64.72942
152,67.99076
153,67.6884
154,64.982
155,64.35653
156,65.51336
157,64.40263
158,67.62852
159,66.56466
160,65.42663
161,64.17944
162,64.50112
163,71.2977
164,68.45087
165,68.72952
166,70.20477
167,69.20759
168,69.87237
169,68.31766
170,70.70164
171,70.52259
172,71.12268
173,69.52272
174,71.08775
175,66.35701
176,64.13552
177,67.26377
178,65.82771
179,66.3182
180,67.84473
181,69.91049
182,71.57364
183,70.77038
184,70.21407
185,69.87499
186,70.03633
187,70.6937
188,70.2643
189,70.2299
190,71.11074
191,68.7286
192,68.9175
193,70.20643
194,65.96641
195,65.56071
196,67.93978
197,68.43483
198,69.52822
199,69.89893
200,69.76658
201,71.30468
202,69.8137
203,68.13207
204,70.04452
205,68.66408
206,69.31951
207,67.9866
208,65.64078
209,64.33992
210,64.89233
211,67.77125
212,67.86302
213,67.28337
214,64.24198
215,66.0423
216,67.16776
217,66.2448
218,65.72911
219,66.63945
220,66.70438
221,64.70564
222,65.51844
223,64.43353
224,64.92857
