Data Sets simulated by the Matlab function dataSetsGenerator,
Index (s),normalCurrent (mA)
1,65.647715
2,64.095565
3,65.556075
4,66.875782
5,64.701673
6,67.853921
7,67.307098
8,65.837307
9,65.494023
10,67.749459
11,67.590881
12,64.48191
13,66.051807
14,65.536989
15,67.793431
16,65.464332
17,64.875817
18,66.997331
19,66.289277
20,67.143401
21,66.687823
22,64.333545
23,67.150316
24,66.102838
25,67.685341
26,65.708664
27,65.375902
28,66.40281
29,66.989566
30,65.579157
31,65.135324
32,66.730814
33,66.629888
34,65.447894
35,64.135387
36,66.07877
37,66.871144
38,65.430802
39,66.798683
40,66.274227
41,65.001461
42,65.66548
43,65.794135
44,66.91784
45,65.552127
46,65.172524
47,65.896575
48,66.174227
49,66.690809
50,67.123935
51,65.376662
52,65.865598
53,67.795318
54,67.150069
55,66.214828
56,64.273291
57,66.468578
58,67.052977
59,67.493551
60,65.580279
61,64.684869
62,67.479321
63,64.467807
64,66.55631
65,66.745387
66,66.434613
67,64.715489
68,64.439131
69,65.401902
70,67.768474
71,67.459257
72,64.917406
73,65.385826
74,65.571486
75,66.891175
76,64.681528
77,67.655515
78,66.194108
79,65.216766
80,64.569369
81,65.511177
82,65.043445
83,66.594833
84,66.981464
85,64.394221
86,65.950076
87,65.853376
88,67.53812
89,66.534368
90,67.271303
91,64.082447
92,64.941197
93,67.197128
94,67.373769
95,67.881993
96,67.329951
97,66.66904
98,64.935985
99,65.754863
100,65.499062
101,67.970613
102,66.837414
103,66.90983
104,67.325324
105,65.537059
106,64.618783
107,67.27989
108,65.528709
109,64.475192
110,64.616925
111,66.29949
112,64.764161
113,64.310208
114,65.807151
115,67.584022
116,64.422563
117,65.268968
118,67.600245
119,65.508731
120,67.040371
121,67.669382
122,66.737624
123,66.449829
124,67.566893
125,66.716933
126,66.752244
127,64.499115
128,64.039883
129,64.802351
130,65.748284
131,64.231592
132,64.422531
133,66.473901
134,67.967016
135,66.175357
136,65.206417
137,64.141045
138,67.967752
139,65.394308
140,66.962612
141,64.370304
142,66.620584
143,67.83296
144,66.927087
145,65.931436
146,64.405722
147,64.772894
148,65.151927
149,64.18946
150,67.050495
151,66.849042
152,65.295571
153,66.74479
154,65.759677
155,65.722827
156,64.39868
157,65.756951
